segment,lon,lat
0,-163.713,-78.596
0,-163.106,-78.223
0,-161.245,-78.38
0,-160.246,-78.694
0,-159.482,-79.046
0,-159.208,-79.497
0,-161.128,-79.634
0,-162.44,-79.281
0,-163.027,-78.929
0,-163.067,-78.87
0,-163.713,-78.596
,,
1,-6.198,53.868
1,-6.033,53.153
1,-6.789,52.26
1,-8.562,51.669
1,-9.977,51.82
1,-9.166,52.865
1,-9.689,53.881
1,-8.328,54.665
1,-7.572,55.132
1,-6.734,55.173
1,-5.662,54.555
1,-6.198,53.868
,,
2,141.0,-2.6
2,142.735,-3.289
2,144.584,-3.861
2,145.273,-4.374
2,145.83,-4.876
2,145.982,-5.466
2,147.648,-6.084
2,147.891,-6.614
2,146.971,-6.722
2,147.192,-7.388
2,148.085,-8.044
2,148.734,-9.105
2,149.307,-9.071
2,149.267,-9.514
2,150.039,-9.684
2,149.739,-9.873
2,150.802,-10.294
2,150.691,-10.583
2,150.028,-10.652
2,149.782,-10.393
2,148.923,-10.281
2,147.913,-10.13
2,147.135,-9.492
2,146.568,-8.943
2,146.048,-8.067
2,144.744,-7.63
2,143.897,-7.915
2,143.286,-8.245
2,143.414,-8.983
2,142.628,-9.327
2,142.068,-9.16
2,141.034,-9.118
2,140.143,-8.297
2,139.128,-8.096
2,138.881,-8.381
2,137.614,-8.412
2,138.039,-7.598
2,138.669,-7.32
2,138.408,-6.233
2,137.928,-5.393
2,135.989,-4.547
2,135.165,-4.463
2,133.663,-3.539
2,133.368,-4.025
2,132.984,-4.113
2,132.757,-3.746
2,132.754,-3.312
2,131.99,-2.821
2,133.067,-2.46
2,133.78,-2.48
2,133.696,-2.215
2,132.232,-2.213
2,131.836,-1.617
2,130.943,-1.433
2,130.52,-0.938
2,131.868,-0.695
2,132.38,-0.37
2,133.986,-0.78
2,134.143,-1.152
2,134.423,-2.769
2,135.458,-3.368
2,136.293,-2.307
2,137.441,-1.704
2,138.33,-1.703
2,139.185,-2.051
2,139.927,-2.409
2,141.0,-2.6
,,
3,114.204,4.526
3,114.6,4.9
3,115.451,5.448
3,116.221,6.143
3,116.725,6.925
3,117.13,6.928
3,117.643,6.422
3,117.689,5.987
3,118.348,5.709
3,119.182,5.408
3,119.111,5.016
3,118.44,4.967
3,118.618,4.478
3,117.882,4.138
3,117.313,3.234
3,118.048,2.288
3,117.876,1.828
3,118.997,0.902
3,117.812,0.784
3,117.478,0.102
3,117.522,-0.804
3,116.56,-1.488
3,116.534,-2.484
3,116.148,-4.013
3,116.001,-3.657
3,114.865,-4.107
3,114.469,-3.496
3,113.756,-3.439
3,113.257,-3.119
3,112.068,-3.478
3,111.703,-2.994
3,111.048,-3.049
3,110.224,-2.934
3,110.071,-1.593
3,109.572,-1.315
3,109.092,-0.46
3,108.953,0.415
3,109.069,1.342
3,109.663,2.006
3,110.396,1.664
3,111.169,1.851
3,111.37,2.697
3,111.797,2.886
3,112.996,3.102
3,113.713,3.894
3,114.204,4.526
,,
4,-93.613,74.98
4,-94.157,74.592
4,-95.609,74.667
4,-96.821,74.928
4,-96.289,75.378
4,-94.851,75.647
4,-93.978,75.296
4,-93.613,74.98
,,
5,-93.84,77.52
5,-94.296,77.491
5,-96.17,77.555
5,-96.436,77.835
5,-94.423,77.82
5,-93.721,77.634
5,-93.84,77.52
,,
6,-96.754,78.766
6,-95.559,78.418
6,-95.83,78.057
6,-97.31,77.851
6,-98.124,78.083
6,-98.553,78.458
6,-98.632,78.872
6,-97.337,78.832
6,-96.754,78.766
,,
7,-88.15,74.392
7,-89.765,74.516
7,-92.422,74.838
7,-92.768,75.387
7,-92.89,75.883
7,-93.894,76.319
7,-95.962,76.441
7,-97.121,76.751
7,-96.745,77.161
7,-94.684,77.098
7,-93.574,76.776
7,-91.605,76.779
7,-90.742,76.45
7,-90.97,76.074
7,-89.822,75.848
7,-89.187,75.61
7,-87.838,75.566
7,-86.379,75.482
7,-84.79,75.699
7,-82.753,75.784
7,-81.129,75.714
7,-80.058,75.337
7,-79.834,74.923
7,-80.458,74.657
7,-81.949,74.442
7,-83.229,74.564
7,-86.097,74.41
7,-88.15,74.392
,,
8,-111.264,78.153
8,-109.854,77.996
8,-110.187,77.697
8,-112.051,77.409
8,-113.534,77.732
8,-112.725,78.051
8,-111.264,78.153
,,
9,-110.964,78.804
9,-109.663,78.602
9,-110.881,78.407
9,-112.542,78.408
9,-112.526,78.551
9,-111.5,78.85
9,-110.964,78.804
,,
10,-66.282,18.515
10,-65.771,18.427
10,-65.591,18.228
10,-65.847,17.976
10,-66.6,17.982
10,-67.184,17.947
10,-67.242,18.374
10,-67.101,18.521
10,-66.282,18.515
,,
11,-77.57,18.491
11,-76.897,18.401
11,-76.365,18.161
11,-76.2,17.887
11,-76.903,17.868
11,-77.206,17.701
11,-77.766,17.862
11,-78.338,18.226
11,-78.218,18.455
11,-77.797,18.524
11,-77.57,18.491
,,
12,-82.268,23.189
12,-81.404,23.117
12,-80.619,23.106
12,-79.68,22.765
12,-79.281,22.399
12,-78.347,22.512
12,-77.993,22.277
12,-77.146,21.658
12,-76.524,21.207
12,-76.195,21.221
12,-75.598,21.017
12,-75.671,20.735
12,-74.934,20.694
12,-74.178,20.285
12,-74.297,20.05
12,-74.962,19.923
12,-75.635,19.874
12,-76.324,19.953
12,-77.755,19.855
12,-77.085,20.413
12,-77.493,20.673
12,-78.137,20.74
12,-78.483,21.029
12,-78.72,21.598
12,-79.285,21.559
12,-80.217,21.827
12,-80.518,22.037
12,-81.821,22.192
12,-82.17,22.387
12,-81.795,22.637
12,-82.776,22.688
12,-83.494,22.169
12,-83.909,22.155
12,-84.052,21.911
12,-84.547,21.801
12,-84.975,21.896
12,-84.447,22.205
12,-84.23,22.566
12,-83.778,22.788
12,-83.268,22.983
12,-82.51,23.079
12,-82.268,23.189
,,
13,-55.6,51.317
13,-56.134,50.687
13,-56.796,49.812
13,-56.143,50.15
13,-55.471,49.936
13,-55.822,49.587
13,-54.935,49.313
13,-54.474,49.557
13,-53.477,49.249
13,-53.786,48.517
13,-53.086,48.688
13,-52.959,48.157
13,-52.648,47.536
13,-53.069,46.655
13,-53.521,46.618
13,-54.179,46.807
13,-53.962,47.625
13,-54.24,47.752
13,-55.401,46.885
13,-55.997,46.92
13,-55.291,47.39
13,-56.251,47.633
13,-57.325,47.573
13,-59.266,47.603
13,-59.419,47.899
13,-58.797,48.252
13,-59.232,48.523
13,-58.392,49.126
13,-57.359,50.718
13,-56.739,51.287
13,-55.871,51.632
13,-55.407,51.588
13,-55.6,51.317
,,
14,-83.883,65.11
14,-82.788,64.767
14,-81.642,64.455
14,-81.553,63.98
14,-80.817,64.057
14,-80.103,63.726
14,-80.991,63.411
14,-82.547,63.652
14,-83.109,64.102
14,-84.1,63.57
14,-85.523,63.052
14,-85.867,63.637
14,-87.222,63.541
14,-86.353,64.036
14,-86.225,64.823
14,-85.884,65.739
14,-85.161,65.657
14,-84.976,65.218
14,-84.464,65.372
14,-83.883,65.11
,,
15,-78.771,72.352
15,-77.825,72.75
15,-75.606,72.244
15,-74.229,71.767
15,-74.099,71.331
15,-72.242,71.557
15,-71.2,70.92
15,-68.786,70.525
15,-67.915,70.122
15,-66.969,69.186
15,-68.805,68.72
15,-66.45,68.067
15,-64.862,67.848
15,-63.425,66.928
15,-61.852,66.862
15,-62.163,66.16
15,-63.918,64.999
15,-65.149,65.426
15,-66.721,66.388
15,-68.015,66.263
15,-68.141,65.69
15,-67.09,65.108
15,-65.732,64.648
15,-65.32,64.383
15,-64.669,63.393
15,-65.014,62.674
15,-66.275,62.945
