lon,lat,segment,kind
173.1843,-13.7773,0,ridge
173.3534,-13.8221,0,ridge
173.4772,-13.8381,0,ridge
173.4993,-13.6364,0,ridge
173.6832,-13.6653,0,ridge
173.8248,-13.7042,0,ridge
173.9237,-13.7252,0,ridge
173.9766,-13.6192,0,ridge
174.0517,-13.4849,0,ridge
174.3379,-13.4899,0,ridge
174.5578,-13.4772,0,ridge
174.7162,-13.4358,0,ridge
174.9186,-13.4341,0,ridge
174.9489,-13.322,0,ridge
175.1887,-13.3018,0,ridge
175.3246,-13.2618,0,ridge
175.3931,-13.2284,0,ridge
,,0,ridge
175.3931,-13.2284,1,ridge
175.6223,-13.1475,1,ridge
175.8142,-13.0729,1,ridge
175.9824,-13.0118,1,ridge
176.187,-12.9676,1,ridge
176.3652,-12.9028,1,ridge
176.6131,-12.813,1,ridge
176.7688,-12.7447,1,ridge
176.9432,-12.6799,1,ridge
177.074,-12.6276,1,ridge
177.2285,-12.5691,1,ridge
,,1,ridge
175.3931,-13.2284,2,ridge
175.5264,-13.3247,2,ridge
175.6405,-13.3772,2,ridge
175.7385,-13.4287,2,ridge
,,2,ridge
176.1923,-13.7409,3,ridge
176.5782,-13.8519,3,ridge
,,3,ridge
176.9898,-14.0366,4,ridge
177.278,-14.1313,4,ridge
,,4,ridge
144.1059,-54.7596,5,ridge
144.2717,-54.8034,5,ridge
144.4316,-54.803,5,ridge
144.5676,-54.8027,5,ridge
144.6994,-54.7955,5,ridge
144.8513,-54.7859,5,ridge
145.1791,-54.7897,5,ridge
145.4228,-54.7707,5,ridge
145.7266,-54.7677,5,ridge
145.9145,-54.7696,5,ridge
146.0704,-54.7646,5,ridge
146.2222,-54.755,5,ridge
146.3461,-54.7478,5,ridge
146.45,-54.7498,5,ridge
146.462,-54.7498,5,ridge
146.5146,-54.8327,5,ridge
146.56,-55.0369,5,ridge
146.605,-55.1786,5,ridge
146.6177,-55.2698,5,ridge
146.6264,-55.3812,5,ridge
146.631,-55.4629,5,ridge
146.6396,-55.5489,5,ridge
146.6523,-55.6392,5,ridge
146.6568,-55.7068,5,ridge
146.6774,-55.7968,5,ridge
146.7306,-55.9626,5,ridge
146.7597,-56.1099,5,ridge
146.7725,-56.2212,5,ridge
146.7853,-56.3299,5,ridge
146.8102,-56.4515,5,ridge
146.839,-56.5662,5,ridge
146.8635,-56.6431,5,ridge
146.9044,-56.755,5,ridge
146.9369,-56.8315,5,ridge
146.9573,-56.8818,5,ridge
146.986,-56.9777,5,ridge
147.0104,-57.0342,5,ridge
147.0309,-57.1037,5,ridge
147.068,-57.2531,5,ridge
147.0925,-57.3179,5,ridge
147.1209,-57.3739,5,ridge
147.1332,-57.4213,5,ridge
147.1618,-57.4922,5,ridge
147.1822,-57.548,5,ridge
147.2106,-57.6036,5,ridge
147.2229,-57.64,5,ridge
147.239,-57.6571,5,ridge
147.3348,-57.6397,5,ridge
147.4467,-57.6374,5,ridge
147.5786,-57.6307,5,ridge
147.6983,-57.609,5,ridge
147.85,-57.5829,5,ridge
147.9618,-57.5655,5,ridge
148.0497,-57.5525,5,ridge
148.1855,-57.5415,5,ridge
148.2934,-57.5326,5,ridge
148.4372,-57.5152,5,ridge
148.517,-57.5021,5,ridge
148.5729,-57.4912,5,ridge
148.6294,-57.5662,5,ridge
148.6782,-57.671,5,ridge
148.7149,-57.7628,5,ridge
148.7394,-57.8309,5,ridge
148.7639,-57.901,5,ridge
148.7885,-57.9794,5,ridge
148.813,-58.0429,5,ridge
148.8455,-58.1168,5,ridge
148.8741,-58.1948,5,ridge
148.9148,-58.2831,5,ridge
148.9594,-58.3607,5,ridge
149.004,-58.4381,5,ridge
149.0567,-58.5424,5,ridge
149.1216,-58.6569,5,ridge
149.1662,-58.7336,5,ridge
149.1987,-58.8082,5,ridge
149.2231,-58.8598,5,ridge
149.2517,-58.9341,5,ridge
149.3045,-59.0329,5,ridge
149.345,-59.0986,5,ridge
149.3815,-59.1682,5,ridge
149.4383,-59.2765,5,ridge
149.5032,-59.3906,5,ridge
149.5438,-59.4657,5,ridge
149.5681,-59.5123,5,ridge
149.5926,-59.569,5,ridge
149.617,-59.6276,5,ridge
149.6413,-59.6639,5,ridge
149.8129,-59.6292,5,ridge
150.0046,-59.6026,5,ridge
150.1564,-59.5921,5,ridge
150.2562,-59.5717,5,ridge
150.4079,-59.5491,5,ridge
150.4686,-59.638,5,ridge
150.5332,-59.7125,5,ridge
150.5819,-59.8111,5,ridge
150.6145,-59.8813,5,ridge
150.6672,-59.9673,5,ridge
150.7077,-60.0352,5,ridge
150.7766,-60.1447,5,ridge
150.813,-60.2003,5,ridge
150.9102,-60.3508,5,ridge
150.9384,-60.3823,5,ridge
150.9586,-60.408,5,ridge
150.9949,-60.4473,5,ridge
151.2145,-60.4094,5,ridge
151.4859,-60.3615,5,ridge
151.8052,-60.2995,5,ridge
152.1006,-60.2434,5,ridge
152.4199,-60.1851,5,ridge
152.7352,-60.1208,5,ridge
153.0864,-60.0523,5,ridge
153.27,-60.012,5,ridge
153.4575,-59.9716,5,ridge
153.4899,-60.0215,5,ridge
153.5504,-60.0932,5,ridge
153.6109,-60.1568,5,ridge
153.6514,-60.2144,5,ridge
153.7162,-60.3114,5,ridge
153.7729,-60.4062,5,ridge
153.8257,-60.5066,5,ridge
153.8824,-60.595,5,ridge
153.931,-60.6713,5,ridge
153.9917,-60.7573,5,ridge
154.0644,-60.8507,5,ridge
154.1091,-60.9303,5,ridge
154.2018,-61.0271,5,ridge
154.2704,-61.0986,5,ridge
154.3431,-61.1891,5,ridge
154.4319,-61.2909,5,ridge
154.5329,-61.4076,5,ridge
154.6216,-61.4934,5,ridge
154.7062,-61.5771,5,ridge
154.7787,-61.6434,5,ridge
154.8837,-61.7607,5,ridge
154.9843,-61.838,5,ridge
155.097,-61.9226,5,ridge
155.1975,-61.9957,5,ridge
155.2904,-62.1023,5,ridge
155.3752,-62.1974,5,ridge
155.4639,-62.2847,5,ridge
155.5485,-62.3551,5,ridge
155.7296,-62.488,5,ridge
155.8945,-62.602,5,ridge
155.9752,-62.6863,5,ridge
156.0518,-62.7668,5,ridge
156.076,-62.7923,5,ridge
156.106,-62.8523,5,ridge
156.3529,-62.8023,5,ridge
,,5,ridge
156.3529,-62.8023,6,ridge
156.6,-62.7215,6,ridge
156.9529,-62.6568,6,ridge
157.3412,-62.5105,6,ridge
157.8,-62.3308,6,ridge
158.2588,-62.2487,6,ridge
158.5059,-62.1664,6,ridge
158.8941,-62.0674,6,ridge
159.3176,-61.9514,6,ridge
159.7412,-61.8517,6,ridge
160.1294,-61.7182,6,ridge
160.5176,-61.6009,6,ridge
160.7294,-61.5169,6,ridge
160.9412,-61.4495,6,ridge
161.2588,-61.6009,6,ridge
161.4706,-61.7683,6,ridge
161.6824,-61.9182,6,ridge
161.9294,-62.0508,6,ridge
162.2118,-61.9348,6,ridge
162.4235,-61.835,6,ridge
162.6706,-61.7683,6,ridge
,,6,ridge
157.0095,-62.5667,7,ridge
157.19,-62.4776,7,ridge
157.64,-62.3317,7,ridge
158.235,-62.1897,7,ridge
158.575,-62.0705,7,ridge
159.075,-61.9156,7,ridge
159.555,-61.774,7,ridge
159.92,-61.6555,7,ridge
160.255,-61.5795,7,ridge
160.69,-61.4483,7,ridge
161.075,-61.6199,7,ridge
161.335,-61.7811,7,ridge
161.63,-61.9367,7,ridge
161.785,-62.0119,7,ridge
161.875,-62.0565,7,ridge
162.12,-61.965,7,ridge
162.35,-61.8849,7,ridge
162.535,-61.8378,7,ridge
162.775,-61.748,7,ridge
,,7,ridge
-0.47,-54.86,8,ridge
-0.04,-54.68,8,ridge
0.45,-54.45,8,ridge
0.9753,-54.797,8,ridge
,,8,ridge
-19.58,-60.81,9,ridge
-19.37,-60.29,9,ridge
-18.65,-60.25,9,ridge
-18.55,-59.94,9,ridge
-18.43,-59.54,9,ridge
-18.12,-59.51,9,ridge
-18.06,-59.15,9,ridge
-17.67,-59.13,9,ridge
-16.92,-59.1,9,ridge
-16.41,-59.1,9,ridge
-16.22,-58.77,9,ridge
-16.0,-58.46,9,ridge
-15.97,-58.44,9,ridge
-15.07,-58.39,9,ridge
-13.95,-58.32,9,ridge
-12.65,-58.24,9,ridge
-11.19,-58.16,9,ridge
-9.89,-58.09,9,ridge
-8.61,-57.99,9,ridge
-7.53,-57.92,9,ridge
-7.01,-57.87,9,ridge
-7.01,-57.62,9,ridge
-7.0,-57.32,9,ridge
-6.54,-57.27,9,ridge
-6.13,-57.24,9,ridge
-6.1,-56.98,9,ridge
-6.06,-56.67,9,ridge
-5.45,-56.63,9,ridge
-4.7,-56.59,9,ridge
-4.68,-56.21,9,ridge
-4.69,-55.81,9,ridge
-4.05,-55.77,9,ridge
-3.72,-55.74,9,ridge
-2.9,-55.71,9,ridge
-2.08,-55.66,9,ridge
-1.61,-55.65,9,ridge
-1.61,-55.13,9,ridge
-1.04,-55.02,9,ridge
-0.44,-54.87,9,ridge
,,9,ridge
162.775,-61.748,10,ridge
163.05,-61.8849,10,ridge
163.31,-62.0119,10,ridge
163.58,-62.1547,10,ridge
163.78,-62.2713,10,ridge
163.965,-62.3758,10,ridge
164.235,-62.2899,10,ridge
164.47,-62.2084,10,ridge
164.655,-62.1477,10,ridge
164.92,-62.0635,10,ridge
165.055,-62.0377,10,ridge
165.305,-62.1571,10,ridge
165.54,-62.2945,10,ridge
165.715,-62.4522,10,ridge
165.895,-62.563,10,ridge
165.98,-62.6228,10,ridge
166.32,-62.5307,10,ridge
166.57,-62.4522,10,ridge
166.905,-62.3619,10,ridge
167.16,-62.4892,10,ridge
167.425,-62.6527,10,ridge
167.63,-62.781,10,ridge
167.875,-62.9065,10,ridge
168.105,-62.8244,10,ridge
168.36,-62.7421,10,ridge
168.555,-62.6734,10,ridge
168.83,-62.8518,10,ridge
169.125,-63.0383,10,ridge
169.48,-63.2484,10,ridge
169.84,-63.4189,10,ridge
170.03,-63.5127,10,ridge
170.33,-63.3898,10,ridge
170.65,-63.2731,10,ridge
170.9,-63.1921,10,ridge
171.145,-63.113,10,ridge
171.385,-63.2754,10,ridge
171.545,-63.3674,10,ridge
171.685,-63.4525,10,ridge
171.98,-63.3338,10,ridge
172.215,-63.4904,10,ridge
172.455,-63.6218,10,ridge
172.605,-63.695,10,ridge
172.66,-63.7349,10,ridge
172.98,-63.6196,10,ridge
173.245,-63.5573,10,ridge
173.49,-63.4994,10,ridge
173.655,-63.4569,10,ridge
173.925,-63.6151,10,ridge
174.205,-63.7592,10,ridge
174.435,-63.8871,10,ridge
174.73,-64.0473,10,ridge
174.97,-64.187,10,ridge
175.21,-64.326,10,ridge
175.385,-64.2544,10,ridge
175.715,-64.1565,10,ridge
176.045,-64.3347,10,ridge
176.24,-64.4427,10,ridge
176.455,-64.5654,10,ridge
176.615,-64.5203,10,ridge
176.785,-64.4621,10,ridge
177.005,-64.5611,10,ridge
177.225,-64.6555,10,ridge
177.325,-64.694,10,ridge
177.465,-64.6426,10,ridge
177.655,-64.574,10,ridge
177.93,-64.7345,10,ridge
178.08,-64.8134,10,ridge
178.265,-64.9068,10,ridge
178.425,-64.8219,10,ridge
178.615,-64.7644,10,ridge
178.775,-64.694,10,ridge
179.095,-64.8559,10,ridge
179.375,-64.9852,10,ridge
179.58,-65.0949,10,ridge
179.76,-65.1643,10,ridge
179.935,-65.0949,10,ridge
,,10,ridge
-179.77,-64.9704,11,ridge
-179.43,-65.1433,11,ridge
-179.13,-65.2733,11,ridge
-178.85,-65.3756,11,ridge
-178.625,-65.4754,11,ridge
-178.47,-65.5479,11,ridge
-178.355,-65.6,11,ridge
-178.275,-65.5438,11,ridge
-178.06,-65.4525,11,ridge
-177.88,-65.386,11,ridge
-177.665,-65.2921,11,ridge
-177.495,-65.4089,11,ridge
-177.28,-65.5086,11,ridge
-177.06,-65.6182,11,ridge
-176.865,-65.5458,11,ridge
-176.6,-65.4588,11,ridge
