site_code,year,month,day,hour,minute,second,datetime,time_decimal,midpoint_time,value,value_std_dev,nvalue,latitude,longitude,altitude,elevation,intake_height,qcflag
BRW,1973,8,1,0,0,0,1973-08-01T00:00:00Z,1973.580821917808,114325200,322.73,0.84,23,71.323,-156.611,27.0,11.0,16.0,...
BRW,1973,9,1,0,0,0,1973-09-01T00:00:00Z,1973.6657534246576,117003600,324.79,1.81,29,71.323,-156.611,27.0,11.0,16.0,...
BRW,1973,10,1,0,0,0,1973-10-01T00:00:00Z,1973.7479452054797,119595600,329.86,2.78,29,71.323,-156.611,27.0,11.0,16.0,...
BRW,1973,11,1,0,0,0,1973-11-01T00:00:00Z,1973.8328767123287,122274000,333.61,0.77,27,71.323,-156.611,27.0,11.0,16.0,...
BRW,1973,12,1,0,0,0,1973-12-01T00:00:00Z,1973.9150684931508,124866000,334.6,1.6,30,71.323,-156.611,27.0,11.0,16.0,...
BRW,1974,1,1,0,0,0,1974-01-01T00:00:00Z,1974.0,127544400,337.51,1.35,20,71.323,-156.611,27.0,11.0,16.0,...
BRW,1974,2,1,0,0,0,1974-02-01T00:00:00Z,1974.0849315068492,130222800,336.87,0.77,19,71.323,-156.611,27.0,11.0,16.0,...
BRW,1974,3,1,0,0,0,1974-03-01T00:00:00Z,1974.1616438356164,132642000,337.47,0.36,29,71.323,-156.611,27.0,11.0,16.0,...
BRW,1974,4,1,0,0,0,1974-04-01T00:00:00Z,1974.2465753424656,135320400,337.88,0.29,15,71.323,-156.611,27.0,11.0,16.0,...
BRW,1974,5,1,0,0,0,1974-05-01T00:00:00Z,1974.3287671232877,137912400,337.7,0.27,29,71.323,-156.611,27.0,11.0,16.0,...
BRW,1974,6,1,0,0,0,1974-06-01T00:00:00Z,1974.4136986301369,140590800,336.79,0.74,29,71.323,-156.611,27.0,11.0,16.0,...
BRW,1974,7,1,0,0,0,1974-07-01T00:00:00Z,1974.495890410959,143182800,332.44,2.47,23,71.323,-156.611,27.0,11.0,16.0,...
BRW,1974,8,1,0,0,0,1974-08-01T00:00:00Z,1974.580821917808,145861200,324.31,0.86,21,71.323,-156.611,27.0,11.0,16.0,...
BRW,1974,9,1,0,0,0,1974-09-01T00:00:00Z,1974.6657534246576,148539600,325.18,1.46,23,71.323,-156.611,27.0,11.0,16.0,...
BRW,1974,10,1,0,0,0,1974-10-01T00:00:00Z,1974.7479452054797,151131600,329.73,1.97,29,71.323,-156.611,27.0,11.0,16.0,...
BRW,1974,11,1,0,0,0,1974-11-01T00:00:00Z,1974.8328767123287,153810000,332.98,1.09,28,71.323,-156.611,27.0,11.0,16.0,...
BRW,1974,12,1,0,0,0,1974-12-01T00:00:00Z,1974.9150684931508,156402000,336.04,1.51,30,71.323,-156.611,27.0,11.0,16.0,...
BRW,1975,1,1,0,0,0,1975-01-01T00:00:00Z,1975.0,159080400,337.63,0.72,30,71.323,-156.611,27.0,11.0,16.0,...
BRW,1975,2,1,0,0,0,1975-02-01T00:00:00Z,1975.0849315068492,161758800,337.84,1.62,16,71.323,-156.611,27.0,11.0,16.0,...
BRW,1975,3,1,0,0,0,1975-03-01T00:00:00Z,1975.1616438356164,164178000,338.01,0.41,26,71.323,-156.611,27.0,11.0,16.0,...
BRW,1975,4,1,0,0,0,1975-04-01T00:00:00Z,1975.2465753424656,166856400,338.61,0.35,30,71.323,-156.611,27.0,11.0,16.0,...
BRW,1975,5,1,0,0,0,1975-05-01T00:00:00Z,1975.3287671232877,169448400,338.92,0.7,11,71.323,-156.611,27.0,11.0,16.0,...
BRW,1975,6,1,0,0,0,1975-06-01T00:00:00Z,1975.4136986301369,172126800,336.29,0.82,27,71.323,-156.611,27.0,11.0,16.0,...
BRW,1975,7,1,0,0,0,1975-07-01T00:00:00Z,1975.495890410959,174718800,329.18,1.5,18,71.323,-156.611,27.0,11.0,16.0,...
BRW,1975,8,1,0,0,0,1975-08-01T00:00:00Z,1975.580821917808,177397200,324.35,2.09,25,71.323,-156.611,27.0,11.0,16.0,...
BRW,1975,9,1,0,0,0,1975-09-01T00:00:00Z,1975.6657534246576,180075600,324.43,1.8,27,71.323,-156.611,27.0,11.0,16.0,...
BRW,1975,10,1,0,0,0,1975-10-01T00:00:00Z,1975.7479452054797,182667600,328.74,1.48,30,71.323,-156.611,27.0,11.0,16.0,...
BRW,1975,11,1,0,0,0,1975-11-01T00:00:00Z,1975.8328767123287,185346000,333.85,1.28,22,71.323,-156.611,27.0,11.0,16.0,...
BRW,1975,12,1,0,0,0,1975-12-01T00:00:00Z,1975.9150684931508,187938000,335.96,0.76,27,71.323,-156.611,27.0,11.0,16.0,...
BRW,1976,1,1,0,0,0,1976-01-01T00:00:00Z,1976.0,190616400,336.5,1.33,26,71.323,-156.611,27.0,11.0,16.0,...
BRW,1976,2,1,0,0,0,1976-02-01T00:00:00Z,1976.084699453552,193294800,336.1,0.47,10,71.323,-156.611,27.0,11.0,16.0,...
BRW,1976,3,1,0,0,0,1976-03-01T00:00:00Z,1976.1639344262296,195800400,337.14,0.6,13,71.323,-156.611,27.0,11.0,16.0,...
BRW,1976,4,1,0,0,0,1976-04-01T00:00:00Z,1976.2486338797817,198478800,337.43,0.46,9,71.323,-156.611,27.0,11.0,16.0,...
BRW,1976,5,1,0,0,0,1976-05-01T00:00:00Z,1976.330601092896,201070800,336.71,2.36,29,71.323,-156.611,27.0,11.0,16.0,...
BRW,1976,6,1,0,0,0,1976-06-01T00:00:00Z,1976.415300546448,203749200,336.21,0.35,28,71.323,-156.611,27.0,11.0,16.0,...
BRW,1976,7,1,0,0,0,1976-07-01T00:00:00Z,1976.4972677595629,206341200,331.07,2.73,28,71.323,-156.611,27.0,11.0,16.0,...
BRW,1976,8,1,0,0,0,1976-08-01T00:00:00Z,1976.5819672131147,209019600,323.68,1.4,22,71.323,-156.611,27.0,11.0,16.0,...
BRW,1976,9,1,0,0,0,1976-09-01T00:00:00Z,1976.6666666666667,211698000,325.02,1.6,25,71.323,-156.611,27.0,11.0,16.0,...
BRW,1976,10,1,0,0,0,1976-10-01T00:00:00Z,1976.7486338797817,214290000,329.74,1.91,26,71.323,-156.611,27.0,11.0,16.0,...
BRW,1976,11,1,0,0,0,1976-11-01T00:00:00Z,1976.8333333333333,216968400,334.06,1.41,30,71.323,-156.611,27.0,11.0,16.0,...
BRW,1976,12,1,0,0,0,1976-12-01T00:00:00Z,1976.915300546448,219560400,336.53,0.83,28,71.323,-156.611,27.0,11.0,16.0,...
BRW,1977,1,1,0,0,0,1977-01-01T00:00:00Z,1977.0,222238800,336.84,0.92,31,71.323,-156.611,27.0,11.0,16.0,...
BRW,1977,2,1,0,0,0,1977-02-01T00:00:00Z,1977.0849315068492,224917200,336.85,0.67,24,71.323,-156.611,27.0,11.0,16.0,...
BRW,1977,3,1,0,0,0,1977-03-01T00:00:00Z,1977.1616438356164,227336400,338.23,0.84,30,71.323,-156.611,27.0,11.0,16.0,...
BRW,1977,4,1,0,0,0,1977-04-01T00:00:00Z,1977.2465753424656,230014800,339.16,0.49,29,71.323,-156.611,27.0,11.0,16.0,...
BRW,1977,5,1,0,0,0,1977-05-01T00:00:00Z,1977.3287671232877,232606800,339.43,0.32,30,71.323,-156.611,27.0,11.0,16.0,...
BRW,1977,6,1,0,0,0,1977-06-01T00:00:00Z,1977.4136986301369,235285200,337.83,0.83,30,71.323,-156.611,21.0,11.0,10.0,...
BRW,1977,7,1,0,0,0,1977-07-01T00:00:00Z,1977.495890410959,237877200,330.11,3.16,31,71.323,-156.611,21.0,11.0,10.0,...
BRW,1977,8,1,0,0,0,1977-08-01T00:00:00Z,1977.580821917808,240555600,325.64,1.09,22,71.323,-156.611,21.0,11.0,10.0,...
BRW,1977,9,1,0,0,0,1977-09-01T00:00:00Z,1977.6657534246576,243234000,327.51,2.16,28,71.323,-156.611,21.0,11.0,10.0,...
BRW,1977,10,1,0,0,0,1977-10-01T00:00:00Z,1977.7479452054797,245826000,332.05,1.49,31,71.323,-156.611,21.0,11.0,10.0,...
BRW,1977,11,1,0,0,0,1977-11-01T00:00:00Z,1977.8328767123287,248504400,334.79,2.07,29,71.323,-156.611,21.0,11.0,10.0,...
BRW,1977,12,1,0,0,0,1977-12-01T00:00:00Z,1977.9150684931508,251096400,338.86,1.31,29,71.323,-156.611,21.0,11.0,10.0,...
BRW,1978,1,1,0,0,0,1978-01-01T00:00:00Z,1978.0,253774800,339.3,1.02,30,71.323,-156.611,21.0,11.0,10.0,...
BRW,1978,2,1,0,0,0,1978-02-01T00:00:00Z,1978.0849315068492,256453200,340.27,0.97,28,71.323,-156.611,21.0,11.0,10.0,...
BRW,1978,3,1,0,0,0,1978-03-01T00:00:00Z,1978.1616438356164,258872400,341.55,0.88,30,71.323,-156.611,21.0,11.0,10.0,...
BRW,1978,4,1,0,0,0,1978-04-01T00:00:00Z,1978.2465753424656,261550800,341.0,0.38,30,71.323,-156.611,21.0,11.0,10.0,...
