site_code,year,month,day,hour,minute,second,datetime,time_decimal,midpoint_time,value,value_std_dev,nvalue,latitude,longitude,altitude,elevation,intake_height,qcflag
MLO,1974,1,1,0,0,0,1974-01-01T00:00:00Z,1974.0,127544400,-999.99,-99.99,0,19.536,-155.576,3387.1,3397.0,-9.9,*..
MLO,1974,2,1,0,0,0,1974-02-01T00:00:00Z,1974.0849315068492,130222800,-999.99,-99.99,0,19.536,-155.576,3387.1,3397.0,-9.9,*..
MLO,1974,3,1,0,0,0,1974-03-01T00:00:00Z,1974.1616438356164,132642000,-999.99,-99.99,0,19.536,-155.576,3387.1,3397.0,-9.9,*..
MLO,1974,4,1,0,0,0,1974-04-01T00:00:00Z,1974.2465753424656,135320400,-999.99,-99.99,0,19.536,-155.576,3387.1,3397.0,-9.9,*..
MLO,1974,5,1,0,0,0,1974-05-01T00:00:00Z,1974.3287671232877,137912400,333.16,0.36,13,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1974,6,1,0,0,0,1974-06-01T00:00:00Z,1974.4136986301369,140590800,332.17,0.41,25,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1974,7,1,0,0,0,1974-07-01T00:00:00Z,1974.495890410959,143182800,331.11,0.49,24,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1974,8,1,0,0,0,1974-08-01T00:00:00Z,1974.580821917808,145861200,329.11,0.64,26,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1974,9,1,0,0,0,1974-09-01T00:00:00Z,1974.6657534246576,148539600,327.3,0.64,22,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1974,10,1,0,0,0,1974-10-01T00:00:00Z,1974.7479452054797,151131600,327.3,0.27,24,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1974,11,1,0,0,0,1974-11-01T00:00:00Z,1974.8328767123287,153810000,328.27,0.52,26,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1974,12,1,0,0,0,1974-12-01T00:00:00Z,1974.9150684931508,156402000,329.61,0.53,29,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1975,1,1,0,0,0,1975-01-01T00:00:00Z,1975.0,159080400,330.75,0.5,30,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1975,2,1,0,0,0,1975-02-01T00:00:00Z,1975.0849315068492,161758800,331.47,0.47,26,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1975,3,1,0,0,0,1975-03-01T00:00:00Z,1975.1616438356164,164178000,331.9,0.3,17,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1975,4,1,0,0,0,1975-04-01T00:00:00Z,1975.2465753424656,166856400,333.12,0.47,23,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1975,5,1,0,0,0,1975-05-01T00:00:00Z,1975.3287671232877,169448400,333.95,0.34,28,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1975,6,1,0,0,0,1975-06-01T00:00:00Z,1975.4136986301369,172126800,333.46,0.53,27,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1975,7,1,0,0,0,1975-07-01T00:00:00Z,1975.495890410959,174718800,332.04,0.78,24,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1975,8,1,0,0,0,1975-08-01T00:00:00Z,1975.580821917808,177397200,329.92,0.95,24,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1975,9,1,0,0,0,1975-09-01T00:00:00Z,1975.6657534246576,180075600,328.46,0.76,22,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1975,10,1,0,0,0,1975-10-01T00:00:00Z,1975.7479452054797,182667600,328.48,0.42,11,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1975,11,1,0,0,0,1975-11-01T00:00:00Z,1975.8328767123287,185346000,329.23,0.44,18,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1975,12,1,0,0,0,1975-12-01T00:00:00Z,1975.9150684931508,187938000,-999.99,-99.99,0,19.536,-155.576,3387.1,3397.0,-9.9,*..
MLO,1976,1,1,0,0,0,1976-01-01T00:00:00Z,1976.0,190616400,331.63,0.29,19,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1976,2,1,0,0,0,1976-02-01T00:00:00Z,1976.084699453552,193294800,332.75,0.55,22,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1976,3,1,0,0,0,1976-03-01T00:00:00Z,1976.1639344262296,195800400,333.3,0.76,18,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1976,4,1,0,0,0,1976-04-01T00:00:00Z,1976.2486338797817,198478800,334.76,0.77,18,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1976,5,1,0,0,0,1976-05-01T00:00:00Z,1976.330601092896,201070800,334.72,0.58,21,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1976,6,1,0,0,0,1976-06-01T00:00:00Z,1976.415300546448,203749200,334.19,0.21,15,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1976,7,1,0,0,0,1976-07-01T00:00:00Z,1976.4972677595629,206341200,332.89,0.7,15,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1976,8,1,0,0,0,1976-08-01T00:00:00Z,1976.5819672131147,209019600,330.72,0.75,23,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1976,9,1,0,0,0,1976-09-01T00:00:00Z,1976.6666666666667,211698000,328.89,1.0,13,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1976,10,1,0,0,0,1976-10-01T00:00:00Z,1976.7486338797817,214290000,328.7,0.58,19,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1976,11,1,0,0,0,1976-11-01T00:00:00Z,1976.8333333333333,216968400,330.25,0.51,25,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1976,12,1,0,0,0,1976-12-01T00:00:00Z,1976.915300546448,219560400,331.67,0.69,20,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1977,1,1,0,0,0,1977-01-01T00:00:00Z,1977.0,222238800,332.66,0.47,23,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1977,2,1,0,0,0,1977-02-01T00:00:00Z,1977.0849315068492,224917200,333.22,0.29,20,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1977,3,1,0,0,0,1977-03-01T00:00:00Z,1977.1616438356164,227336400,334.98,0.55,23,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1977,4,1,0,0,0,1977-04-01T00:00:00Z,1977.2465753424656,230014800,336.22,0.6,20,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1977,5,1,0,0,0,1977-05-01T00:00:00Z,1977.3287671232877,232606800,336.92,0.3,20,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1977,6,1,0,0,0,1977-06-01T00:00:00Z,1977.4136986301369,235285200,336.16,0.4,23,19.536,-155.576,3422.0,3397.0,25.0,...
MLO,1977,7,1,0,0,0,1977-07-01T00:00:00Z,1977.495890410959,237877200,334.81,0.66,20,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1977,8,1,0,0,0,1977-08-01T00:00:00Z,1977.580821917808,240555600,332.61,0.57,18,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1977,9,1,0,0,0,1977-09-01T00:00:00Z,1977.6657534246576,243234000,331.27,0.54,19,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1977,10,1,0,0,0,1977-10-01T00:00:00Z,1977.7479452054797,245826000,331.28,0.33,23,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1977,11,1,0,0,0,1977-11-01T00:00:00Z,1977.8328767123287,248504400,332.53,0.59,21,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1977,12,1,0,0,0,1977-12-01T00:00:00Z,1977.9150684931508,251096400,333.61,0.55,25,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1978,1,1,0,0,0,1978-01-01T00:00:00Z,1978.0,253774800,334.98,0.61,22,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1978,2,1,0,0,0,1978-02-01T00:00:00Z,1978.0849315068492,256453200,335.27,0.56,25,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1978,3,1,0,0,0,1978-03-01T00:00:00Z,1978.1616438356164,258872400,336.65,0.75,28,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1978,4,1,0,0,0,1978-04-01T00:00:00Z,1978.2465753424656,261550800,337.73,0.48,18,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1978,5,1,0,0,0,1978-05-01T00:00:00Z,1978.3287671232877,264142800,338.02,0.45,26,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1978,6,1,0,0,0,1978-06-01T00:00:00Z,1978.4136986301369,266821200,337.95,0.5,17,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1978,7,1,0,0,0,1978-07-01T00:00:00Z,1978.495890410959,269413200,336.34,0.55,21,19.536,-155.576,3410.0,3397.0,13.0,...
MLO,1978,8,1,0,0,0,1978-08-01T00:00:00Z,1978.580821917808,272091600,334.65,0.52,19,19.536,-155.576,3410.0,3397.0,13.0,...
