site_code,year,month,day,hour,minute,second,datetime,time_decimal,midpoint_time,value,value_std_dev,nvalue,latitude,longitude,altitude,elevation,intake_height,qcflag
SMO,1976,1,1,0,0,0,1976-01-01T00:00:00Z,1976.0,190616400,332.47,0.85,28,-14.247,-170.564,52.0,42.0,10.0,...
SMO,1976,2,1,0,0,0,1976-02-01T00:00:00Z,1976.084699453552,193294800,331.89,0.38,22,-14.247,-170.564,52.0,42.0,10.0,...
SMO,1976,3,1,0,0,0,1976-03-01T00:00:00Z,1976.1639344262296,195800400,331.35,0.5,28,-14.247,-170.564,52.0,42.0,10.0,...
SMO,1976,4,1,0,0,0,1976-04-01T00:00:00Z,1976.2486338797817,198478800,331.12,0.58,22,-14.247,-170.564,52.0,42.0,10.0,...
SMO,1976,5,1,0,0,0,1976-05-01T00:00:00Z,1976.330601092896,201070800,330.93,0.67,14,-14.247,-170.564,52.0,42.0,10.0,...
SMO,1976,6,1,0,0,0,1976-06-01T00:00:00Z,1976.415300546448,203749200,331.1,0.4,20,-14.247,-170.564,52.0,42.0,10.0,...
SMO,1976,7,1,0,0,0,1976-07-01T00:00:00Z,1976.4972677595629,206341200,330.97,0.35,26,-14.247,-170.564,52.0,42.0,10.0,...
SMO,1976,8,1,0,0,0,1976-08-01T00:00:00Z,1976.5819672131147,209019600,331.13,0.21,30,-14.247,-170.564,52.0,42.0,10.0,...
SMO,1976,9,1,0,0,0,1976-09-01T00:00:00Z,1976.6666666666667,211698000,331.26,0.12,21,-14.247,-170.564,52.0,42.0,10.0,...
SMO,1976,10,1,0,0,0,1976-10-01T00:00:00Z,1976.7486338797817,214290000,331.52,0.28,20,-14.247,-170.564,52.0,42.0,10.0,...
SMO,1976,11,1,0,0,0,1976-11-01T00:00:00Z,1976.8333333333333,216968400,331.99,0.38,20,-14.247,-170.564,52.0,42.0,10.0,...
SMO,1976,12,1,0,0,0,1976-12-01T00:00:00Z,1976.915300546448,219560400,331.69,0.33,16,-14.247,-170.564,52.0,42.0,10.0,...
SMO,1977,1,1,0,0,0,1977-01-01T00:00:00Z,1977.0,222238800,331.74,0.28,28,-14.247,-170.564,47.0,42.0,5.0,...
SMO,1977,2,1,0,0,0,1977-02-01T00:00:00Z,1977.0849315068492,224917200,331.98,0.35,26,-14.247,-170.564,47.0,42.0,5.0,...
SMO,1977,3,1,0,0,0,1977-03-01T00:00:00Z,1977.1616438356164,227336400,332.08,0.75,23,-14.247,-170.564,54.0,42.0,12.0,...
SMO,1977,4,1,0,0,0,1977-04-01T00:00:00Z,1977.2465753424656,230014800,332.14,0.87,14,-14.247,-170.564,54.0,42.0,12.0,...
SMO,1977,5,1,0,0,0,1977-05-01T00:00:00Z,1977.3287671232877,232606800,333.04,1.22,10,-14.247,-170.564,54.0,42.0,12.0,...
SMO,1977,6,1,0,0,0,1977-06-01T00:00:00Z,1977.4136986301369,235285200,333.66,0.59,25,-14.247,-170.564,54.0,42.0,12.0,...
SMO,1977,7,1,0,0,0,1977-07-01T00:00:00Z,1977.495890410959,237877200,333.21,0.34,27,-14.247,-170.564,54.0,42.0,12.0,...
SMO,1977,8,1,0,0,0,1977-08-01T00:00:00Z,1977.580821917808,240555600,333.03,0.3,25,-14.247,-170.564,54.0,42.0,12.0,...
SMO,1977,9,1,0,0,0,1977-09-01T00:00:00Z,1977.6657534246576,243234000,332.82,0.39,9,-14.247,-170.564,52.0,42.0,10.0,...
