site_code,year,month,day,hour,minute,second,datetime,time_decimal,midpoint_time,value,value_std_dev,nvalue,latitude,longitude,altitude,elevation,intake_height,qcflag
SPO,1975,1,1,0,0,0,1975-01-01T00:00:00Z,1975.0,159080400,328.19,0.13,13,-89.98,-24.8,2820.0,2810.0,10.0,...
SPO,1975,2,1,0,0,0,1975-02-01T00:00:00Z,1975.0849315068492,161758800,328.22,0.07,28,-89.98,-24.8,2820.0,2810.0,10.0,...
SPO,1975,3,1,0,0,0,1975-03-01T00:00:00Z,1975.1616438356164,164178000,328.88,0.14,8,-89.98,-24.8,2820.0,2810.0,10.0,...
SPO,1975,4,1,0,0,0,1975-04-01T00:00:00Z,1975.2465753424656,166856400,-999.99,-99.99,0,-89.98,-24.8,2800.1,2810.0,-9.9,*..
SPO,1975,5,1,0,0,0,1975-05-01T00:00:00Z,1975.3287671232877,169448400,-999.99,-99.99,0,-89.98,-24.8,2800.1,2810.0,-9.9,*..
SPO,1975,6,1,0,0,0,1975-06-01T00:00:00Z,1975.4136986301369,172126800,-999.99,-99.99,0,-89.98,-24.8,2800.1,2810.0,-9.9,*..
SPO,1975,7,1,0,0,0,1975-07-01T00:00:00Z,1975.495890410959,174718800,-999.99,-99.99,0,-89.98,-24.8,2800.1,2810.0,-9.9,*..
SPO,1975,8,1,0,0,0,1975-08-01T00:00:00Z,1975.580821917808,177397200,-999.99,-99.99,0,-89.98,-24.8,2800.1,2810.0,-9.9,*..
SPO,1975,9,1,0,0,0,1975-09-01T00:00:00Z,1975.6657534246576,180075600,-999.99,-99.99,0,-89.98,-24.8,2800.1,2810.0,-9.9,*..
SPO,1975,10,1,0,0,0,1975-10-01T00:00:00Z,1975.7479452054797,182667600,-999.99,-99.99,0,-89.98,-24.8,2800.1,2810.0,-9.9,*..
SPO,1975,11,1,0,0,0,1975-11-01T00:00:00Z,1975.8328767123287,185346000,330.6,0.72,12,-89.98,-24.8,2820.0,2810.0,10.0,...
SPO,1975,12,1,0,0,0,1975-12-01T00:00:00Z,1975.9150684931508,187938000,329.72,0.09,30,-89.98,-24.8,2820.0,2810.0,10.0,...
SPO,1976,1,1,0,0,0,1976-01-01T00:00:00Z,1976.0,190616400,329.44,0.08,31,-89.98,-24.8,2820.0,2810.0,10.0,...
SPO,1976,2,1,0,0,0,1976-02-01T00:00:00Z,1976.084699453552,193294800,329.21,0.13,29,-89.98,-24.8,2820.0,2810.0,10.0,...
SPO,1976,3,1,0,0,0,1976-03-01T00:00:00Z,1976.1639344262296,195800400,329.06,0.13,31,-89.98,-24.8,2820.0,2810.0,10.0,...
SPO,1976,4,1,0,0,0,1976-04-01T00:00:00Z,1976.2486338797817,198478800,329.04,0.04,30,-89.98,-24.8,2820.0,2810.0,10.0,...
SPO,1976,5,1,0,0,0,1976-05-01T00:00:00Z,1976.330601092896,201070800,329.1,0.05,31,-89.98,-24.8,2820.0,2810.0,10.0,...
SPO,1976,6,1,0,0,0,1976-06-01T00:00:00Z,1976.415300546448,203749200,329.33,0.12,30,-89.98,-24.8,2820.0,2810.0,10.0,...
SPO,1976,7,1,0,0,0,1976-07-01T00:00:00Z,1976.4972677595629,206341200,329.69,0.11,31,-89.98,-24.8,2820.0,2810.0,10.0,...
SPO,1976,8,1,0,0,0,1976-08-01T00:00:00Z,1976.5819672131147,209019600,330.13,0.13,31,-89.98,-24.8,2820.0,2810.0,10.0,...
SPO,1976,9,1,0,0,0,1976-09-01T00:00:00Z,1976.6666666666667,211698000,330.48,0.1,30,-89.98,-24.8,2820.0,2810.0,10.0,...
SPO,1976,10,1,0,0,0,1976-10-01T00:00:00Z,1976.7486338797817,214290000,330.52,0.07,31,-89.98,-24.8,2820.0,2810.0,10.0,...
SPO,1976,11,1,0,0,0,1976-11-01T00:00:00Z,1976.8333333333333,216968400,330.6,0.23,29,-89.98,-24.8,2820.0,2810.0,10.0,...
SPO,1976,12,1,0,0,0,1976-12-01T00:00:00Z,1976.915300546448,219560400,330.63,0.12,20,-89.98,-24.8,2820.0,2810.0,10.0,...
SPO,1977,1,1,0,0,0,1977-01-01T00:00:00Z,1977.0,222238800,330.29,0.12,28,-89.98,-24.8,2823.5,2810.0,13.5,...
SPO,1977,2,1,0,0,0,1977-02-01T00:00:00Z,1977.0849315068492,224917200,331.11,0.45,26,-89.98,-24.8,2823.5,2810.0,13.5,...
SPO,1977,3,1,0,0,0,1977-03-01T00:00:00Z,1977.1616438356164,227336400,330.95,0.07,31,-89.98,-24.8,2823.5,2810.0,13.5,...
SPO,1977,4,1,0,0,0,1977-04-01T00:00:00Z,1977.2465753424656,230014800,331.01,0.05,30,-89.98,-24.8,2823.5,2810.0,13.5,...
SPO,1977,5,1,0,0,0,1977-05-01T00:00:00Z,1977.3287671232877,232606800,331.12,0.09,28,-89.98,-24.8,2823.5,2810.0,13.5,...
SPO,1977,6,1,0,0,0,1977-06-01T00:00:00Z,1977.4136986301369,235285200,331.35,0.08,24,-89.98,-24.8,2823.5,2810.0,13.5,...
SPO,1977,7,1,0,0,0,1977-07-01T00:00:00Z,1977.495890410959,237877200,331.63,0.09,31,-89.98,-24.8,2823.5,2810.0,13.5,...
SPO,1977,8,1,0,0,0,1977-08-01T00:00:00Z,1977.580821917808,240555600,331.98,0.08,31,-89.98,-24.8,2823.5,2810.0,13.5,...
SPO,1977,9,1,0,0,0,1977-09-01T00:00:00Z,1977.6657534246576,243234000,332.33,0.1,30,-89.98,-24.8,2823.5,2810.0,13.5,...
SPO,1977,10,1,0,0,0,1977-10-01T00:00:00Z,1977.7479452054797,245826000,332.62,0.12,30,-89.98,-24.8,2823.5,2810.0,13.5,...
SPO,1977,11,1,0,0,0,1977-11-01T00:00:00Z,1977.8328767123287,248504400,332.59,0.11,30,-89.98,-24.8,2823.5,2810.0,13.5,...
