pl_name,pl_rade,pl_radeerr1,pl_bmasse,pl_bmassprov,pl_orbsmax,st_rad,sy_dist,disc_year,discoverymethod,disc_facility
HD 2039 b,12.7,,1999.1507,Msini,2.2,1.19,85.6922,2002,Radial Velocity,Anglo-Australian Telescope
KOI-142 b,3.438,0.075,9.5,Mass,0.09586,0.897,376.863,2013,Transit,Kepler
HAT-P-8 b,15.6926,1.45717,406.8224,Mass,0.04496,1.57,211.553,2008,Transit,HATNet
K2-43 b,4.51,0.44,18.5,M-R relationship,0.03784,0.542,182.536,2016,Transit,K2
Kepler-1753 b,2.22678077,,5.59,M-R relationship,0.1179,0.769,707.688,2021,Transit,Kepler
Kepler-1176 b,2.45,0.63,6.57,M-R relationship,0.1589,1.02,864.699,2016,Transit,Kepler
K2-126 b,1.97,0.12,4.54,M-R relationship,0.0656,0.65,102.953,2017,Transit,K2
Kepler-1263 b,1.14,0.28,1.55,M-R relationship,0.0499,0.8,664.83,2016,Transit,Kepler
Kepler-1416 b,0.88,0.33,0.615,M-R relationship,0.0257,1.15,949.59,2016,Transit,Kepler
Kepler-1542 c,0.65,0.09,0.208,M-R relationship,0.0387,0.99,399.114,2016,Transit,Kepler
K2-85 b,1.4,0.2,3.2,Mass,0.013,0.71,97.2179,2016,Transit,K2
Kepler-368 c,3.88,1.08,14.3,M-R relationship,0.36,2.019,770.978,2014,Transit,Kepler
K2-123 b,2.76,0.16,8.05,M-R relationship,0.1649,0.59,161.555,2017,Transit,K2
Kepler-770 b,2.3,0.32,5.9,M-R relationship,0.1694,0.92,930.457,2016,Transit,Kepler
Kepler-1399 b,1.25,0.22,2.1,M-R relationship,0.0276,0.96,1385.7,2016,Transit,Kepler
Kepler-723 b,12.19,1.58,,Msini,0.0479,0.89,1071.8,2016,Transit,Kepler
K2-107 b,15.98,0.55,266.9772,Mass,0.0475,1.81,685.2,2017,Transit,K2
K2-45 b,6.71,0.0,36.4,M-R relationship,0.0224,0.445,495.317,2016,Transit,K2
K2-365 b,2.906,0.195,8.78,M-R relationship,,1.051,187.222,2022,Transit,K2
K2-127 b,8.37,0.33,52.9,M-R relationship,0.0411,0.66,709.999,2017,Transit,K2
