pl_name,st_teff,st_rad,pl_orbsmax,pl_rade,pl_eqt,discoverymethod
Kepler-1513 b,5491.0,0.95,,8.594,,Transit
TOI-4914 b,5805.0,1.0,0.098,12.87,894.0,Transit
TOI-237 c,3226.0,0.2056,0.016,1.206,515.0,Transit
TOI-1898 b,6241.0,1.6131,0.269,9.39553231,674.54,Transit
HD 330075 b,5000.0,0.84,0.04,,,Radial Velocity
KOI-351 f,6080.0,1.2,0.48,2.88,,Transit
Kepler-1812 b,6174.0,1.103,,2.3249424,,Transit
KMT-2017-BLG-0428L b,,,1.81,,,Microlensing
Kepler-516 b,7099.0,2.02,,5.74,,Transit
Kepler-1685 b,5484.0,0.835451,,2.57673985,,Transit
Kepler-299 e,5617.0,1.032,0.22,1.87,,Transit
TOI-1749 b,3985.0,0.55,0.0291,1.39,831.0,Transit
Kepler-406 b,5538.0,1.07,,1.43,,Transit
OGLE-2016-BLG-1190L b,,,2.17,,,Microlensing
Kepler-46 b,5155.0,0.938,0.1968,9.057,543.0,Transit
Kepler-1215 b,5616.0,0.93,,1.22,,Transit
Kepler-434 b,5977.0,1.38,0.1143,12.67,1000.0,Transit
Kepler-1998 b,5640.0,0.921,0.0405,0.6,1187.0,Transit
Kepler-189 b,5235.0,0.75,0.088,1.21,,Transit
HD 3765 b,5049.8,0.83061,2.108,,,Radial Velocity
Kepler-400 c,5886.0,1.145,0.134,1.49,,Transit
Kepler-852 b,6100.0,1.16,,2.54,,Transit
Kepler-444 e,5046.0,0.752,0.0696,0.546,,Transit
WASP-89 b,5130.0,0.88,0.0427,11.65736,1120.0,Transit
K2-415 b,3173.0,0.1965,0.027,1.015,412.4,Transit
Kepler-328 c,,1.06,,5.4,,Transit
HATS-13 b,5523.0,0.887,0.04057,13.585308,1244.0,Transit
Kepler-476 b,5837.0,1.09,,3.08,,Transit
HIP 94235 b,5991.0,1.08,0.0787,3.0,1060.0,Transit
Kepler-763 d,4999.0,0.843,0.0634,1.67,804.0,Transit
Kepler-134 c,5983.0,1.176,0.092,1.26,,Transit
HD 136352 c,5664.0,1.058,0.1721,2.916,677.0,Radial Velocity
Kepler-359 b,6248.0,1.086,0.178,3.53,,Transit
Kepler-777 b,4043.0,0.56,,1.47,,Transit
Kepler-1923 b,5881.0,1.294,,1.95958179,,Transit
