FID,Volcano_Number,Volcano_Name,Volcanic_Landform,Primary_Volcano_Type,Last_Eruption_Year,Country,Region,Subregion,Geological_Summary,Latitude,Longitude,Elevation,Tectonic_Setting,Geologic_Epoch,Evidence_Category,Primary_Photo_Link,Primary_Photo_Caption,Primary_Photo_Credit,Major_Rock_Type,GeoLocation
Smithsonian_VOTW_Holocene_Volcanoes.fid--1678905a_1a0570e89d9_-48e4,210010,West Eifel Volcanic Field,Cluster,Volcanic field,-8300.0,Germany,European Volcanic Regions,Central European Volcanic Province,"The West Eifel Volcanic Field of western Germany, SW of the city of Bonn, is a dominantly Pleistocene group of 240 scoria cones, maars, and small stratovolcanoes covering an area of about 600 km2. The smaller, but better known, East Eifel Volcanic Field is about 40 km NE. Individual vents spread across a broad NW-SE-trending area extending about 50 km from the towns of Ormont on the NW to Bad Bertrich on the SE. Eruptions originated from a mantle plume through Devonian sedimentary and metamorphic rocks. Two-thirds of the volcanic centers in the field are scoria cones; lava flows have been produced from about half of them. About 30% of the centers are maars or tuff rings, many of which are occupied by lakes. About 230 eruptions have occurred during the past 730,000 years. The latest eruptions formed the Ulmener, Pulvermaar, and Strohn maars around the end of the Pleistocene and the beginning of the Holocene.",50.17,6.85,600.0,Rift zone / Continental crust (> 25 km),Holocene,Eruption Dated,https://volcano.si.edu/gallery/photos/GVP-01501.jpg,"The lake-filled Weinfelder maar is one of about 80 maars of the West Eifel Volcanic Field in Germany, west of the Rhine River. The roughly 500-m-wide crater was formed during the late Pleistocene by explosions through non-volcanic bedrock. About 230 eruptions during the past 730,000 years formed a 600 km2 area that includes maars, scoria cones, and small stratovolcanoes.","Photo by Richard Waitt, 1990 (U.S. Geological Survey).",Foidite,POINT (6.85 50.17)
Smithsonian_VOTW_Holocene_Volcanoes.fid--1678905a_1a0570e89d9_-48e3,210020,Chaine des Puys,Cluster,Lava dome(s),-4040.0,France,European Volcanic Regions,Western European Volcanic Province,"The Chaîne des Puys, prominent in the history of volcanology, form a N-S-trending chain of basaltic and trachytic cinder cones, basaltic maars, and trachytic lava domes in France's Massif Central that has been active into the Holocene. Construction of the present-day Chaîne des Puys began about 70,000 years before present (BP), and was largely completed by the beginning of the Holocene. Holocene eruptions constructed lava domes such as the Puy de Dôme, whose growth was accompanied by pyroclastic flows, cinder cones that fed lengthy lava flows, and maars. The latest well-documented activity took place about 6,000 BP near Besse-en-Chandesse and included the powerful explosions that formed the Lac Pavin maar. The dating of younger tephras has not yet been confirmed, and reports of eruptions as late as 1,000 BP have been discredited.",45.786,2.981,1464.0,Rift zone / Continental crust (> 25 km),Holocene,Eruption Dated,https://volcano.si.edu/gallery/photos/GVP-08802.jpg,"The central part of the Chaîne des Puys volcanic chain in the Auvergne region of France from the SW. Puy de Dôme is the rounded peak in the center, Puy de Côme is at the left, and Puy de Laschamp is the scoria cone at the right. The N-S-trending chain of basaltic and trachytic cones, basaltic maars, and trachytic lava domes in France's Massif Central has been active into the Holocene. The latest well-documented activity took place about 6,000 years ago.",Photo by Ichio Moriya (Kanazawa University).,Basalt / Picro-Basalt,POINT (2.981 45.786)
Smithsonian_VOTW_Holocene_Volcanoes.fid--1678905a_1a0570e89d9_-48e2,210030,Olot Volcanic Field,Cluster,Volcanic field,,Spain,European Volcanic Regions,Western European Volcanic Province,"The Olot volcanic field (also known as the Garrotxa volcanic field) occupies the NE corner of Spain south of the Pyrenees Mountains about 90 km NNE of Barcelona. The field consists of a large number of Strombolian pyroclastic cones and associated alkali basaltic lava flows, and is part of the NE Volcanic Province, which includes the Ampurdán and Selva areas to the SE. The pyroclastic cones are preferentially located at the intersection of E-W and NW-SE faults that cut sedimentary and metamorphic basement rocks.  The latest dated eruption occurred during the early Holocene, and stratigraphic evidence suggests that more recent eruptions have occurred.",42.17,2.53,893.0,Intraplate / Continental crust (> 25 km),Holocene,Evidence Credible,https://volcano.si.edu/gallery/photos/GVP-11991.jpg,"The forested Volcà Montolivet scoria cone rises above the city of Olot, as seen from the Volcà Montsacopa scoria cone to the NE. The cone is part of a large volcanic field named after the city and occupies the NE corner of Spain, south of the Pyrenees Mountains and about 90 km NNE of Barcelona. The latest dated eruption at Olot (also known as the Garrotxa volcanic field) occurred during the early Holocene and stratigraphic evidence suggests that more recent eruptions have occurred.",Photo by Puigalder (Wikimedia Commons).,Trachybasalt / Tephrite Basanite,POINT (2.53 42.17)
Smithsonian_VOTW_Holocene_Volcanoes.fid--1678905a_1a0570e89d9_-48e1,210040,Calatrava Volcanic Field,Cluster,Volcanic field,-3600.0,Spain,European Volcanic Regions,Western European Volcanic Province,"The Calatrava volcanic field lies in central Spain near Ciudad Real. The more than 300 basaltic-to-foiditic pyroclastic cones, maars, and lava domes cover an area of more than 5,000 km2. The field is mostly of Pliocene or late-Pleistocene age, although late-stage phreatomagmatic activity at Columba volcano was dated at the mid-Holocene. It lies in a continental rift setting and contains several lake-filled maars. Fumarolic activity was recorded in the Sierra de Valenzuela area during the 16th-18th centuries.",38.87,-4.02,1117.0,Intraplate / Continental crust (> 25 km),Holocene,Eruption Dated,https://volcano.si.edu/gallery/photos/GVP-11854.jpg,"Columba volcano, the youngest known vent of the dominantly Pliocene Calatrava Volcanic Field, rises above the Jabalón reservoir (foreground). The massive volcanic field covers an area of over 5,000 km2 and contains more than 300 cones, maars, and lava domes. This field is mostly of Pliocene or late-Pleistocene age, although late-stage phreatomagmatic activity at Columba volcano was dated at the mid-Holocene. Fumarolic activity was recorded in the Sierra de Valenzuela area during the 16th-18th centuries.","Photo by Rafael Becerra Ramírez, 2006 (Universidad de Castilla-La Mancha).",Basalt / Picro-Basalt,POINT (-4.02 38.87)
Smithsonian_VOTW_Holocene_Volcanoes.fid--1678905a_1a0570e89d9_-48e0,211004,Colli Albani,Caldera,Caldera,,Italy,European Volcanic Regions,Italian Peninsula Volcanic Provinces,"The Colli Albani (Alban Hills) complex immediately SE of Rome contains a large Pleistocene stratovolcano with a 10 x 12 km caldera formed during an eruptive period with six major explosions that produced at least 280 km3 of ejecta between about 560,000 and 350,000 years ago. Subsequent eruptions occurred from a new 5-km-wide central cone and from many phreatomagmatic craters and cones within the Artemisio-Tuscolana caldera and on its outer flanks. The post-caldera eruptions have buried the western side of the caldera rim. The largest of the post-caldera craters is Lake Albano, a 2.5 x 4 km compound maar constructed at the WSW margin of the caldera in multiple stages dating back to about 69,000 years ago. The age of the most recent eruptions from the Albano maar is not known precisely; variable dates range from about 36,000 years ago to perhaps the Holocene, when several possibly non-volcanic lake overflow lahars occurred.  Reported eruptions during the Roman period are uncertain, but subsequent seismic swarms lasting up to two years have been recorded.",41.7569,12.7251,949.0,Subduction zone / Continental crust (> 25 km),Holocene,Evidence Uncertain,https://volcano.si.edu/gallery/photos/GVP-08819.jpg,The lake-filled Albano maar is part of the Alban Hills (Monte Albano) complex immediately SE of Rome. The Cavo scoria cone rises beyond the far rim. The Monte Albano complex contains a large Pleistocene stratovolcano with a 10-km-wide caldera. Subsequent eruptions occurred from a 5-km-wide central cone as well as craters and cones within the caldera and on its outer flanks. The youngest known magmatic eruption occurred during the late-Pleistocene.,Photo by Ichio Moriya (Kanazawa University).,Foidite,POINT (12.7251 41.7569)
Smithsonian_VOTW_Holocene_Volcanoes.fid--1678905a_1a0570e89d9_-48df,211010,Campi Flegrei,Caldera,Caldera,1538.0,Italy,European Volcanic Regions,Italian Peninsula Volcanic Provinces,"Campi Flegrei is a 13-km-wide caldera that encompasses part of Naples and extends to the south beneath the Gulf of Pozzuoli. Episodes of significant uplift and subsidence within the dominantly trachytic caldera have occurred since Roman times. The earliest known eruptive products are dated 47,000 years BP. The caldera formed following two large explosive eruptions, the massive Campanian ignimbrite about 36,000 BP, and the over 40 km3 Neapolitan Yellow Tuff (NYT) about 15,000 BP. Following eruption of the NYT a large number of eruptions originated from widely scattered subaerial and submarine vents. Most activity occurred during three intervals: 15,000-9,500, 8,600-8,200, and 4,800-3,800 BP. The latest eruptions were in 1158 CE at Solfatara and in 1538 CE when the Monte Nuovo cinder cone was built.",40.827,14.139,458.0,Subduction zone / Continental crust (> 25 km),Holocene,Eruption Observed,https://volcano.si.edu/gallery/photos/GVP-01511.jpg,"A Landsat satellite image shows the Campi Flegrei caldera north of the Bay of Naples. The 13-km-wide caldera, immediately west of the city of Naples (upper right), was created following massive explosive eruptions about 34,000 and 12,000 years ago. Subsequent eruptions formed numerous craters and cones within the caldera and along its margins. The most recent eruption created the Monte Nuovo tuff cone in 1538.","NASA Landsat image, 1984.",Trachyte / Trachydacite,POINT (14.139 40.827)
Smithsonian_VOTW_Holocene_Volcanoes.fid--1678905a_1a0570e89d9_-48de,211020,Vesuvius,Composite,Stratovolcano,1944.0,Italy,European Volcanic Regions,Italian Peninsula Volcanic Provinces,"One of the world's most noted volcanoes, Vesuvius (Vesuvio) forms a dramatic backdrop to the Bay of Naples. The active cone was constructed within a large caldera of the older Monte Somma edifice, thought to have formed incrementally beginning about 17,000 years ago. The Monte Somma caldera wall has channeled lava flows and pyroclastic flows primarily to the south and west. Eight major explosive eruptions have taken place in the last 17,000 years, often accompanied by large pyroclastic flows and surges, such as during the 79 CE Pompeii eruption. Intermittent eruptions since 79 CE were followed by a period of frequent long-term explosive and effusive eruptions between 1631 and 1944. The large 1631 eruption produced pyroclastic flows that reached as far as the coast and caused great destruction. Many towns are located on the flanks, and several million people live within areas that could be affected by eruptions.",40.821,14.426,1281.0,Subduction zone / Continental crust (> 25 km),Holocene,Eruption Observed,https://volcano.si.edu/gallery/photos/GVP-01531.jpg,"Mount Vesuvius behind city of Naples. The modern cone of Vesuvius is flanked on the left by Monte Somma, the rim of a caldera that formed about 17,000 years ago. Eight major explosive eruptions have occurred since, including the 79 CE eruption that destroyed Pompeii and other towns. A period of frequent, long-duration eruptions began in 1631 and the latest eruption of Vesuvius was in 1944.","Photo by Dan Dzurisin, 1983 (U.S. Geological Survey).",Phono-tephrite /  Tephri-phonolite,POINT (14.426 40.821)
Smithsonian_VOTW_Holocene_Volcanoes.fid--1678905a_1a0570e89d9_-48dd,211031,Palinuro,Composite,Compound,-8040.0,Italy,European Volcanic Regions,Aeolian Volcanic Arc,"Palinuro seamount in the Tyrrhenian Sea north of the Eolian Islands rises nearly 3,000 m to within 70 m of the surface and has an open summit crater. A marine ash layer (PL-1) radiocarbon dated (calibrated) at 9,990 +/- 90 years ago is chemically and stratigraphically similar to two ash layers on land in southern Italy; it was tentatively correlated to Palinuro seamount activity (Siani et al., 2004).",39.48,14.83,-70.0,Subduction zone / Continental crust (> 25 km),Holocene,Eruption Dated,,,,Phonolite,POINT (14.83 39.48)
Smithsonian_VOTW_Holocene_Volcanoes.fid--1678905a_1a0570e89d9_-48dc,211030,Ischia,Composite,Complex,1302.0,Italy,European Volcanic Regions,Italian Peninsula Volcanic Provinces,"The Ischia volcanic complex forms a rectangular, 6 x 9 km island immediately SW of the Campi Flegrei area at the western side of the Bay of Naples. The eruption of the trachytic Green Tuff ignimbrite about 56,000 years ago was followed by caldera formation. The high point on the island, Monte Epomeo, is a volcanic horst composed of the Green Tuff ignimbrite deposit that was submerged after its eruption and then uplifted. Volcanism on the island has been significantly affected by tectonism that formed a series of horsts and grabens; at least 800 m of uplift has formed as a result of resurgent doming during past 33,000 years. Many small monogenetic volcanoes were formed around the uplifted block. Volcanism during the Holocene produced a series of pumiceous tephras, tuff rings, lava domes, and lava flows, and a major collapse of Mount Epomeo produced a large submarine debris-avalanche deposit. The latest eruption, in 1302 CE, produced a spatter cone and the Arso lava flow, which reached the NE coast.",40.73,13.897,789.0,Subduction zone / Continental crust (> 25 km),Holocene,Eruption Observed,https://volcano.si.edu/gallery/photos/GVP-10474.jpg,"The Ischia volcanic complex forms a 6 x 9 km island W of the Bay of Naples seen in this International Space Station image. Tectonism has influenced volcanic activity at Ischia, and its high point (the dark-colored area in the center) is a horst (raised fault block) composed of ignimbrite deposits associated with Pleistocene caldera formation. During the Holocene, a series of pumiceous tephras, tuff rings, lava domes, and lava flows were erupted.","NASA International Space Station image ISS002-E-8200, 2001 (http://eol.jsc.nasa.gov/).",Trachyte / Trachydacite,POINT (13.897 40.73)
Smithsonian_VOTW_Holocene_Volcanoes.fid--1678905a_1a0570e89d9_-48db,211041,Panarea,Composite,Stratovolcano,,Italy,European Volcanic Regions,Aeolian Volcanic Arc,"The mostly submerged Panarea volcanic complex lies about midway between Stromboli and Lipari in the eastern part of the Aeolian Islands. Panarea, the smallest island in the Aeolian Archipelago, lies on the western side of a shallow platform whose shelf margin is at about 130 m depth. A series of small islands breach the surface to form the Central Reefs, the rim of a crater 2 km E of Panarea, whose shallow submerged floor contains Roman ruins. The submerged Secca dei Pesci lava dome lies at the SE end of the platform, and the rhyolitic Basiluzzo lava dome rises 165 m above the surface at the NE end, along a ridge trending towards Stromboli volcano.  The complex was constructed in two main stages: an initial effusive activity phase that produced lava domes, and an explosive stage.  The youngest subaerial airfall-tephra deposits are dated to about 20,000 years ago; a date of less than 10,000 BP on a lava flow is uncertain. Vigorous hydrothermal activity has continued at fumarolic fields at several locations on the submerged platform; submarine hydrothermal explosions have been observed.",38.638,15.064,399.0,Subduction zone / Continental crust (> 25 km),Holocene,Evidence Uncertain,https://volcano.si.edu/gallery/photos/GVP-10391.jpg,"Panarea Island is the largest subaerial component of a mostly submarine volcanic complex between Lipari and Stromboli volcanoes. The last eruptions took place during the early Holocene, but hydrothermal activity has continued at fumarolic fields at several locations on the submerged platform. The water discoloration in the foreground, 2 km E of Panarea Island, near the small islands took place during November 2002.","Photo courtesy of Istituto Nazionale di Geofisica e Vulcanologia, Sezione di Catania (INGV), 2002.",Andesite / Basaltic Andesite,POINT (15.064 38.638)
