,Age,Lon,Lat,Distance
1,9.31,-44.9,24.16,153.99
4,9.31,-44.6,24.35,185.35
6,9.31,-44.43,24.46,190.08
10,9.31,-44.31,24.77,166.8
11,9.31,-44.29,24.87,152.27
13,9.31,-44.25,24.92,144.27
14,9.31,-43.86,25.0,180.96
15,9.31,-43.83,25.07,184.02
17,9.31,-43.79,25.17,179.99
21,9.31,-43.57,25.7,165.71
31,9.31,-43.27,26.31,157.4
32,9.31,-43.24,26.39,152.02
36,9.31,-43.11,26.87,149.32
38,9.31,-43.03,27.0,148.86
41,9.31,-42.93,27.25,150.83
42,9.31,-42.9,27.35,151.0
43,9.31,-42.89,27.45,147.68
45,9.31,-42.87,27.59,144.19
47,9.31,-42.8,27.73,136.63
52,9.31,-42.63,28.04,142.57
53,9.31,-42.54,28.22,144.49
57,9.31,-42.4,28.52,131.31
58,9.31,-41.91,28.89,173.21
60,9.31,-41.7,29.18,161.68
61,9.31,-41.56,29.23,170.7
62,9.31,-41.48,29.46,155.05
64,9.31,-41.45,29.58,152.28
66,9.31,-41.35,29.78,154.08
68,9.31,-40.78,30.0,215.25
69,20.13,-43.16,24.17,346.67
70,20.13,-43.11,24.34,350.21
73,20.13,-43.02,24.52,341.75
74,20.13,-42.81,24.69,347.8
76,20.13,-42.59,24.79,354.1
79,20.13,-42.55,24.94,332.12
80,20.13,-42.39,25.37,322.91
81,20.13,-42.37,25.41,324.3
85,20.13,-42.18,25.68,321.4
88,20.13,-41.98,26.07,321.66
90,20.13,-41.95,26.24,312.39
93,20.13,-41.72,26.48,318.93
95,20.13,-41.77,26.49,312.82
99,20.13,-41.62,26.89,313.73
101,20.13,-41.6,27.02,306.35
103,20.13,-41.54,27.06,311.53
112,20.13,-41.03,28.03,319.89
114,20.13,-40.77,28.36,327.02
118,20.13,-40.23,29.22,319.76
119,20.13,-40.13,29.4,310.63
120,20.13,-39.87,29.47,332.18
121,20.13,-39.57,29.58,360.71
123,20.13,-39.44,29.7,370.03
125,20.13,-39.37,29.83,372.86
127,20.13,-39.31,29.99,377.04
129,43.79,-38.98,24.39,802.79
130,43.79,-39.0,24.65,776.4
132,43.79,-38.95,24.75,762.22
133,43.79,-38.8,25.24,729.01
135,43.79,-38.71,25.48,725.02
136,43.79,-38.68,25.63,713.76
138,43.79,-38.48,25.91,714.8
141,43.79,-38.32,26.25,713.83
143,43.79,-38.15,26.5,713.37
145,43.79,-38.1,26.6,715.0
146,43.79,-37.96,26.98,716.11
149,43.79,-37.84,27.08,719.85
152,43.79,-37.4,28.08,718.79
156,43.79,-35.91,28.96,824.09
157,43.79,-35.88,29.01,819.96
158,43.79,-35.64,29.42,805.35
159,43.79,-35.56,29.55,804.87
162,43.79,-35.39,29.87,812.24
164,49.71,-38.36,24.53,856.66
165,49.71,-38.29,24.83,822.11
167,49.71,-38.15,25.13,805.61
168,49.71,-38.09,25.32,800.64
169,49.71,-38.05,25.36,803.73
172,49.71,-37.92,25.59,801.77
174,49.71,-37.65,26.35,774.28
176,49.71,-37.57,26.6,773.85
179,49.71,-37.44,26.81,777.91
182,49.71,-37.14,27.28,790.22
186,49.71,-36.64,28.05,804.14
188,49.71,-36.6,28.12,805.5
194,49.71,-34.96,29.46,876.49
195,49.71,-34.87,29.66,876.84
197,49.71,-34.74,29.86,884.28
199,52.76,-37.32,24.27,990.64
202,52.76,-37.07,24.95,936.56
206,52.76,-36.39,26.72,898.71
209,52.76,-35.97,27.3,919.11
211,52.76,-35.88,27.6,916.16
213,52.76,-35.6,28.05,919.22
216,52.76,-35.33,28.62,909.53
218,52.76,-35.25,28.8,912.67
221,52.76,-33.7,29.3,1032.47
222,52.76,-33.67,29.35,1030.35
223,52.76,-33.6,29.85,1010.53
226,56.39,-36.54,24.59,1053.89
228,56.39,-36.4,24.82,1033.94
229,56.39,-36.39,24.87,1026.82
231,56.39,-36.21,25.69,979.57
233,56.39,-35.92,26.49,960.17
234,56.39,-35.92,26.55,958.46
236,56.39,-35.86,26.86,951.79
238,56.39,-35.56,27.35,962.34
241,56.39,-35.44,27.54,969.2
243,56.39,-35.26,27.83,966.94
244,56.39,-35.14,28.07,969.3
245,56.39,-35.09,28.18,970.2
247,56.39,-34.75,28.75,969.54
254,56.39,-32.95,29.86,1082.33
255,67.61,-35.3,24.29,1213.73
256,67.61,-35.3,24.35,1213.44
258,67.61,-35.09,24.62,1212.81
260,67.61,-35.09,24.77,1186.05
261,67.61,-35.05,24.85,1177.3
262,67.61,-35.0,24.93,1167.11
264,67.61,-34.8,25.23,1171.36
267,67.61,-34.78,25.5,1157.83
268,67.61,-34.66,25.83,1142.51
270,67.61,-34.6,26.03,1139.26
