,Age,Lon,Lat,Distance
3,0.78,-137.2106,-54.9759,57.5867
4,0.78,-137.1864,-54.9379,53.0835
5,0.78,-137.1575,-54.9122,57.7443
141,1.86,-136.5462,-55.1561,149.5914
142,1.86,-136.5178,-55.1163,148.0458
143,1.86,-136.4897,-55.0889,147.9051
144,2.581,-136.0959,-55.2627,210.155
145,2.581,-136.0664,-55.2236,208.8214
146,2.581,-136.0393,-55.2005,209.0572
147,3.58,-135.1993,-55.4866,332.1153
148,3.58,-135.1735,-55.4421,329.748
149,3.58,-135.1434,-55.4081,329.0464
150,4.235,-134.8249,-55.567,381.5136
151,4.235,-134.8024,-55.5268,379.2958
152,4.235,-134.7819,-55.5008,378.5008
153,5.105,-134.1996,-55.7032,464.2618
154,5.105,-134.1764,-55.6565,461.3662
155,5.105,-134.1449,-55.6192,460.4431
156,5.894,-133.7256,-55.7908,525.179
157,5.894,-133.7024,-55.744,522.2762
158,5.894,-133.6764,-55.7073,520.8293
159,6.567,-133.1218,-55.8964,602.0903
160,6.567,-133.1032,-55.8501,598.7499
161,6.567,-133.085,-55.8184,597.0559
162,7.861,-132.3733,-56.0454,699.53
163,7.861,-132.342,-55.9878,696.2498
164,7.861,-132.3138,-55.945,694.3344
165,8.862,-131.7491,-56.1435,777.7674
166,8.862,-131.7283,-56.0939,774.2748
167,8.862,-131.7083,-56.0602,772.533
168,9.74,-131.2997,-56.2221,835.0142
169,9.74,-131.2751,-56.172,831.8677
170,9.74,-131.2486,-56.132,830.1041
171,10.949,-130.6777,-56.3417,915.4931
172,10.949,-130.6439,-56.2871,912.8192
173,10.949,-130.6106,-56.2465,911.7064
174,12.2925,-129.9857,-56.4567,1002.9421
175,12.2925,-129.9675,-56.3669,994.5411
176,12.2925,-129.9523,-56.4088,1001.0017
177,13.065,-129.5832,-56.5294,1054.4753
178,13.065,-129.5593,-56.479,1051.2236
179,13.065,-129.5387,-56.4376,1048.6606
180,14.395,-128.9573,-56.6465,1135.0865
181,14.395,-128.9291,-56.5933,1131.979
182,14.395,-128.9049,-56.5519,1129.7937
183,15.0945,-128.6125,-56.7139,1179.8258
184,15.0945,-128.5804,-56.6593,1176.9727
185,15.0945,-128.5552,-56.6153,1174.593
186,16.1535,-128.0349,-56.8211,1254.1135
187,16.1535,-128.0349,-56.8211,1254.1135
188,16.1535,-128.0077,-56.763,1250.325
189,16.1535,-128.0077,-56.763,1250.325
190,16.1535,-127.9802,-56.7192,1248.2249
191,16.1535,-127.9802,-56.7192,1248.2249
192,16.641,-127.8337,-56.8554,1279.6472
193,16.641,-127.8073,-56.7994,1276.0172
194,16.641,-127.7855,-56.754,1273.1124
195,17.446,-127.4527,-56.9279,1328.8465
196,17.446,-127.4204,-56.8669,1325.2782
197,17.446,-127.3971,-56.8238,1322.8031
198,18.281,-127.2063,-56.9677,1359.8548
199,18.281,-127.1753,-56.9107,1356.6058
200,18.281,-127.1442,-56.8659,1354.774
201,19.048,-126.9259,-57.0227,1396.2551
202,19.048,-126.9024,-56.96,1391.5448
203,19.048,-126.8775,-56.9157,1389.1126
204,20.131,-126.3775,-57.1208,1466.3712
205,20.131,-126.3517,-57.0589,1461.9964
206,20.131,-126.323,-57.0143,1459.9284
207,21.158,-126.0432,-57.109,1500.8457
208,21.158,-126.0216,-57.0698,1498.6468
209,21.158,-126.0674,-57.165,1504.7016
210,23.069,-125.396,-57.172,1577.498
211,23.069,-125.4454,-57.2801,1584.6757
212,23.069,-125.4127,-57.2214,1581.4131
213,24.0585,-124.9854,-57.365,1643.7794
214,24.0585,-124.9588,-57.3081,1640.0702
215,24.0585,-124.9309,-57.2608,1637.6095
216,24.835,-124.6943,-57.4094,1680.1171
217,24.835,-124.6675,-57.3577,1677.02
218,24.835,-124.6407,-57.3122,1674.6511
219,25.823,-124.2655,-57.4893,1735.3038
220,25.823,-124.2333,-57.432,1732.1378
221,25.823,-124.2073,-57.39,1730.0902
222,26.554,-123.956,-57.5451,1774.9209
223,26.554,-123.9189,-57.4875,1772.2467
224,27.027,-123.7361,-57.5822,1802.7586
225,27.027,-123.7048,-57.5253,1799.568
226,27.027,-123.6714,-57.4849,1798.4869
227,26.554,-123.8803,-57.4466,1771.6768
228,27.972,-123.2872,-57.6648,1860.426
229,27.972,-123.2517,-57.6073,1857.6009
230,27.972,-123.2169,-57.568,1856.7958
231,28.283,-123.0614,-57.7003,1888.7286
232,28.283,-123.0236,-57.6472,1886.6505
233,28.283,-122.987,-57.6071,1885.9483
234,28.745,-122.8354,-57.7419,1917.757
235,28.745,-122.7993,-57.6856,1915.1243
236,28.745,-122.7655,-57.6491,1914.5437
237,29.401,-122.452,-57.807,1966.3664
238,29.401,-122.4158,-57.7518,1963.8837
239,29.401,-122.3817,-57.7127,1963.0342
240,30.098,-122.1032,-57.8715,2011.2067
241,30.098,-122.068,-57.8148,2008.4372
242,30.098,-122.032,-57.7742,2007.6194
243,30.479,-121.8294,-57.9181,2045.9165
244,30.479,-121.7949,-57.8616,2043.1049
245,30.479,-121.7602,-57.8233,2042.4174
246,30.939,-121.5673,-57.9631,2079.2116
247,30.939,-121.5211,-57.9096,2077.9972
