Supernova,VCMB,D(Mpc),HCMB,σ
SN1990O,9065,134.7,67.3,2.3
SN1990T,12012,158.9,75.6,3.1
SN1990af,15055,198.6,75.8,2.8
SN1991S,16687,238.9,69.8,2.8
SN1991U,9801,117.1,83.7,3.4
SN1991ag,4124,56,73.7,2.9
SN1992J,13707,183.9,74.5,3.1
SN1992P,7880,121.5,64.8,2.2
SN1992ae,22426,274.6,81.6,3.4
SN1992ag,7765,102.1,76.1,2.7
SN1992al,4227,58,72.8,2.4
SN1992aq,30253,467,64.7,2.4
SN1992au,18212,262.2,69.4,2.9
SN1992bc,5935,88.6,67,2.1
SN1992bg,10696,151.4,70.6,2.4
SN1992bh,13518,202.5,66.7,2.3
SN1992bk,17371,235.9,73.6,2.6
SN1992bl,12871,176.8,72.7,2.6
SN1992bo,5434,77.9,69.7,2.4
SN1992bp,23646,309.5,76.3,2.6
SN1992br,26318,391.5,67.2,3.1
SN1992bs,18997,280.1,67.8,2.8
SN1993B,21190,303.4,69.8,2.4
SN1993O,15567,236.1,65.9,2.1
SN1993ag,15002,215.4,69.6,2.4
SN1993ah,8604,119.7,71.9,2.9
SN1993ac,14764,202.3,72.9,2.7
SN1993ae,5424,71.8,75.6,3.1
SN1994M,7241,96.7,74.9,2.6
SN1994Q,8691,127.8,68,2.7
SN1994S,4847,66.8,72.5,2.5
SN1994T,10715,149.9,71.5,2.6
SN1995ac,14634,185.6,78.8,2.7
SN1995ak,6673,82.4,80.9,2.8
SN1996C,9024,136,66.3,2.5
SN1996bl,10446,132.7,78.7,2.7
