Year, Month,  Highest, MHHW, MHW, MSL, MTL, MLW, MLLW, DTL, GT, MN, DHQ, DLQ, HWI, LWI, Lowest, Inferred 
1900,1,4.023,3.469,3.264,2.652,2.67,2.079,1.734,2.602,1.735,1.186,0.204,0.344,7.7,0.86,1.433,0
1900,2,3.627,3.365,3.197,2.579,2.585,1.975,1.707,2.536,1.658,1.222,0.168,0.268,7.75,0.96,1.28,0
1900,3,3.627,3.347,3.222,2.6,2.615,2.006,1.771,2.559,1.576,1.216,0.125,0.235,7.78,0.98,1.524,0
1900,4,3.627,3.261,3.121,2.512,2.521,1.92,1.631,2.446,1.63,1.201,0.14,0.29,7.74,0.94,1.28,0
1900,5,3.566,3.338,3.152,2.533,2.554,1.954,1.603,2.47,1.735,1.198,0.186,0.351,7.85,1.04,1.219,0
1900,6,3.658,3.432,3.194,2.582,2.606,2.015,1.64,2.536,1.792,1.18,0.238,0.375,7.86,1.06,1.311,0
1900,7,3.597,3.469,3.222,2.609,2.624,2.03,1.67,2.57,1.799,1.192,0.247,0.36,7.74,1.12,1.311,0
1900,8,3.627,3.435,3.225,2.615,2.63,2.036,1.728,2.582,1.707,1.189,0.21,0.308,7.75,1.2,1.433,0
1900,9,3.627,3.371,3.231,2.609,2.627,2.021,1.743,2.557,1.628,1.21,0.14,0.277,7.69,1.13,1.585,0
1900,10,3.78,3.368,3.243,2.612,2.627,2.015,1.731,2.55,1.637,1.228,0.125,0.283,7.72,1.11,1.494,0
1900,11,3.78,3.441,3.252,2.597,2.627,2.006,1.64,2.54,1.801,1.247,0.189,0.366,7.61,1.1,1.25,0
1900,12,3.688,3.45,3.228,2.594,2.603,1.975,1.588,2.519,1.862,1.253,0.223,0.387,7.75,1.13,1.219,0
1901,1,3.932,3.493,3.283,2.664,2.676,2.073,1.747,2.62,1.746,1.21,0.21,0.326,7.84,0.95,1.402,0
1901,2,3.719,3.444,3.274,2.67,2.682,2.091,1.838,2.641,1.606,1.183,0.171,0.253,7.72,0.94,1.372,0
1901,3,3.536,3.292,3.158,2.573,2.585,2.012,1.783,2.538,1.509,1.146,0.134,0.229,7.72,0.81,1.402,0
1901,4,3.536,3.203,3.069,2.46,2.469,1.871,1.579,2.391,1.624,1.198,0.134,0.293,7.7,1.02,1.219,0
1901,5,3.627,3.319,3.136,2.533,2.551,1.963,1.594,2.456,1.725,1.173,0.183,0.369,7.75,0.94,1.097,0
1901,6,3.688,3.362,3.142,2.533,2.554,1.969,1.576,2.469,1.786,1.173,0.219,0.393,7.77,0.88,1.219,0
1901,7,3.658,3.399,3.182,2.573,2.588,1.996,1.628,2.514,1.771,1.186,0.216,0.369,7.83,1.1,1.311,0
1901,8,3.658,3.408,3.222,2.609,2.621,2.024,1.71,2.559,1.698,1.198,0.186,0.314,7.78,1.1,1.494,0
1901,9,3.627,3.353,3.234,2.615,2.627,2.024,1.811,2.582,1.542,1.21,0.119,0.213,7.63,1.1,1.554,0
1901,10,3.688,3.304,3.213,2.585,2.6,1.987,1.71,2.507,1.594,1.225,0.091,0.277,7.67,1.14,1.25,0
1901,11,3.749,3.392,3.24,2.591,2.615,1.99,1.631,2.512,1.761,1.25,0.152,0.36,7.72,1.1,1.219,0
1901,12,3.749,3.399,3.182,2.545,2.56,1.939,1.573,2.486,1.826,1.244,0.216,0.366,7.75,1.14,1.158,0
1902,1,3.688,3.408,3.191,2.554,2.563,1.939,1.585,2.496,1.823,1.253,0.216,0.354,7.8,1.16,1.219,0
1902,2,3.658,3.399,3.246,2.618,2.633,2.024,1.71,2.554,1.689,1.222,0.152,0.314,7.79,1.11,1.433,0
1902,3,3.566,3.289,3.161,2.573,2.594,2.027,1.768,2.528,1.521,1.134,0.128,0.259,7.89,0.91,1.494,0
1902,4,3.536,3.258,3.124,2.518,2.533,1.939,1.637,2.448,1.621,1.186,0.134,0.302,7.82,1.14,1.28,0
1902,5,3.627,3.335,3.139,2.527,2.542,1.945,1.597,2.466,1.738,1.195,0.195,0.347,7.8,1.05,1.25,0
1902,6,3.719,3.42,3.197,2.576,2.594,1.99,1.609,2.514,1.811,1.207,0.223,0.381,7.89,1.06,1.189,0
1902,7,3.749,3.478,3.264,2.643,2.655,2.045,1.722,2.6,1.756,1.219,0.213,0.323,7.83,1.21,1.25,0
1902,8,3.719,3.453,3.28,2.655,2.67,2.06,1.774,2.614,1.679,1.219,0.174,0.287,7.75,1.24,1.372,0
1902,9,3.536,3.411,3.304,2.682,2.697,2.088,1.881,2.646,1.53,1.216,0.107,0.207,7.82,1.28,1.615,0
1902,10,3.658,3.408,3.31,2.685,2.704,2.097,1.841,2.624,1.567,1.213,0.098,0.256,7.74,1.24,1.524,0
1902,11,3.749,3.456,3.277,2.658,2.667,2.054,1.719,2.588,1.737,1.222,0.18,0.335,7.78,1.21,1.28,0
1902,12,3.78,3.484,3.286,2.652,2.67,2.054,1.679,2.582,1.805,1.231,0.198,0.375,7.8,1.16,1.25,0
1903,1,3.81,3.481,3.271,2.646,2.655,2.042,1.722,2.602,1.759,1.228,0.21,0.32,7.78,1.17,1.311,0
1903,2,3.627,3.362,3.2,2.594,2.6,2.003,1.75,2.556,1.612,1.198,0.162,0.253,7.8,0.97,1.311,0
1903,3,3.597,3.374,3.258,2.655,2.655,2.051,1.856,2.615,1.518,1.207,0.116,0.195,7.72,1.07,1.494,0
1903,4,3.566,3.24,3.139,2.551,2.563,1.984,1.737,2.488,1.503,1.155,0.101,0.247,7.78,0.92,1.341,0
1903,5,3.505,3.301,3.139,2.536,2.545,1.951,1.631,2.466,1.67,1.189,0.162,0.32,7.85,1.07,1.219,0
1903,6,3.658,3.371,3.161,2.548,2.56,1.963,1.612,2.492,1.759,1.198,0.21,0.351,7.87,1.09,1.189,0
