time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2015-01-01T23:55:41.830Z,35.9595,-117.7431667,-1.203,2.51,ml,33,39,0.05801,0.2,ci,ci37300904,2022-07-27T12:18:44.125Z,"15km E of Little Lake, CA",quarry blast,0.27,31.61,0.117,32,reviewed,ci,ci
2015-01-05T23:10:51.640Z,33.8386667,-117.4976667,-0.564,1.69,ml,37,64,0.04869,0.15,ci,ci37302408,2016-03-11T13:25:19.502Z,"5km SSE of Home Gardens, CA",quarry blast,0.39,31.61,0.128,38,reviewed,ci,ci
2015-01-07T21:09:21.190Z,39.6108333,-121.5611667,-0.2,2.14,md,10,168,0.07297,0.04,nc,nc72377031,2017-02-07T00:37:56.418Z,"4 km SSW of Cherokee, California",quarry blast,0.46,31.61,0.212,36,reviewed,nc,nc
2015-01-12T20:10:19.600Z,37.3235,-122.098,-0.243,1.78,md,34,59,0.04414,0.05,nc,nc72380001,2017-02-07T01:16:45.851Z,"3 km S of Loyola, California",quarry blast,0.11,31.61,0.181,33,reviewed,nc,nc
2015-01-13T22:25:20.720Z,33.8608333,-117.501,-0.506,1.74,ml,51,49,0.05214,0.18,ci,ci37305032,2016-03-11T02:39:32.470Z,"3km SE of Home Gardens, CA",quarry blast,0.34,31.61,0.167,60,reviewed,ci,ci
2015-01-14T00:40:14.550Z,32.5441667,-116.774,-0.508,1.77,ml,27,139,0.1427,0.2,ci,ci37305048,2016-03-12T00:50:33.505Z,"13km W of Tecate, B.C., MX",quarry blast,0.52,31.61,0.126,15,reviewed,ci,ci
2015-01-15T19:20:37.270Z,34.3215,-116.9335,-1.53,1.68,ml,41,43,0.05999,0.11,ci,ci37305632,2016-03-12T02:40:56.769Z,"9km NNW of Big Bear Lake, CA",quarry blast,0.26,31.61,0.113,40,reviewed,ci,ci
2015-01-15T21:47:33.980Z,36.7521667,-121.5968333,-0.317,1.81,md,57,42,0.02793,0.12,nc,nc72381816,2017-02-07T01:48:04.729Z,"7 km ESE of Prunedale, California",quarry blast,0.13,31.61,0.231,58,reviewed,nc,nc
2015-01-16T21:36:26.930Z,33.8435,-117.4898333,-0.564,1.5,ml,36,69,0.04548,0.15,ci,ci37306008,2016-03-11T19:03:20.641Z,"5km SE of Home Gardens, CA",quarry blast,0.33,31.61,0.188,28,reviewed,ci,ci
2015-01-21T20:12:57.160Z,34.326,-116.9193333,-1.53,1.55,ml,27,129,0.06355,0.16,ci,ci37307696,2016-03-11T22:58:02.038Z,"9km N of Big Bear Lake, CA",quarry blast,0.63,31.61,0.094,36,reviewed,ci,ci
2015-01-22T22:02:37.130Z,33.8543333,-117.5061667,-0.54,1.53,ml,28,72,0.05042,0.15,ci,ci37308024,2016-03-12T02:41:27.981Z,"3km SSE of Home Gardens, CA",quarry blast,0.5,31.61,0.155,60,reviewed,ci,ci
2015-01-23T19:17:30.690Z,33.05,-114.9743333,-0.157,1.66,ml,8,93,0.07763,0.14,ci,ci37308320,2016-03-11T19:03:48.221Z,"45km NNW of Los Algodones, B.C., MX",quarry blast,0.7,31.61,0.131,4,reviewed,ci,ci
2015-01-23T20:04:04.310Z,34.3615,-116.8758333,-1.59,1.56,ml,14,97,0.1057,0.32,ci,ci37308352,2016-03-11T08:06:03.115Z,"12km NNW of Big Bear City, CA",quarry blast,0.99,31.61,0.121,17,reviewed,ci,ci
2015-01-23T20:07:06.570Z,33.6755,-117.2621667,-0.635,1.59,ml,17,100,0.09366,0.18,ci,ci37308344,2016-03-11T13:26:29.731Z,"6km E of Lake Elsinore, CA",quarry blast,0.7,31.61,0.161,7,reviewed,ci,ci
2015-01-26T00:29:07.300Z,35.0445,-117.6631667,-0.797,1.85,ml,21,60,0.1132,0.09,ci,ci37309024,2016-03-11T09:53:43.256Z,"5km NNW of Boron, CA",quarry blast,0.39,31.61,0.176,36,reviewed,ci,ci
2015-01-26T20:59:05.140Z,40.7475,-122.3095,-0.684,1.99,md,30,74,0.2432,0.07,nc,nc72386611,2017-02-07T02:56:07.170Z,"3 km NNE of Mountain Gate, California",quarry blast,0.16,31.61,0.173,36,reviewed,nc,nc
2015-01-27T17:38:30.750Z,37.9043333,-120.5166667,-0.665,1.63,md,5,208,0.1081,0.08,nc,nc72387281,2017-02-07T03:08:01.720Z,"8 km WNW of Chinese Camp, California",quarry blast,0.85,31.61,0.173,5,reviewed,nc,nc
2015-01-28T19:42:06.700Z,35.0465,-117.668,-0.827,1.98,ml,16,113,0.1142,0.08,ci,ci37309912,2016-03-12T00:51:23.413Z,"6km NNW of Boron, CA",quarry blast,0.45,31.61,0.215,58,reviewed,ci,ci
2015-01-28T22:00:30.560Z,33.8578333,-117.5013333,-0.564,1.72,ml,36,80,0.06182,0.18,ci,ci37310000,2016-03-12T06:26:37.992Z,"3km SE of Home Gardens, CA",quarry blast,0.35,31.61,0.152,41,reviewed,ci,ci
