time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-07-04T00:44:59.940Z,35.982,-117.9696667,4.13,2.54,ml,34,87,0.06922,0.1,ci,ci37274274,2018-07-27T03:10:46.920Z,"7km SSW of Coso Junction, CA",earthquake,0.13,0.33,0.216,25,reviewed,ci,ci
2018-07-12T15:50:28.150Z,35.2253333,-117.1888333,2.95,2.08,ml,25,56,0.1885,0.14,ci,ci38219744,2018-07-27T03:05:39.275Z,"39km NNW of Barstow, CA",earthquake,0.19,0.81,0.161,23,reviewed,ci,ci
2018-07-18T21:14:15.870Z,35.3953333,-117.8275,7.52,2.69,ml,44,39,0.1285,0.14,ci,ci38224624,2022-08-08T06:13:22.043Z,"18km W of Johannesburg, CA",earthquake,0.15,0.83,0.211,25,reviewed,ci,ci
2018-07-22T02:56:47.280Z,36.4223333,-117.0085,6.6,2.09,ml,23,67,0.1254,0.21,ci,ci38227160,2018-07-23T18:47:28.322Z,"14km WSW of Furnace Creek, CA",earthquake,0.32,1.58,0.134,30,reviewed,ci,ci
2018-07-22T23:37:05.010Z,35.3895,-117.8335,6.77,2.18,ml,45,39,0.1222,0.13,ci,ci38227768,2018-07-27T02:58:12.981Z,"18km W of Johannesburg, CA",earthquake,0.15,0.53,0.212,62,reviewed,ci,ci
2018-07-30T18:53:35.480Z,35.7198333,-118.4125,4.14,2.53,ml,37,97,0.05519,0.16,ci,ci38233400,2018-07-31T18:02:24.280Z,"4km SSE of Kernville, CA",earthquake,0.22,0.37,0.191,76,reviewed,ci,ci
2018-08-01T07:28:38.050Z,35.3675,-118.4723333,5.02,2.5,ml,44,72,0.08693,0.15,ci,ci38234728,2018-08-01T15:50:22.671Z,"25km S of Bodfish, CA",earthquake,0.16,0.61,0.181,158,reviewed,ci,ci
2018-08-16T03:59:09.670Z,35.6813333,-117.5748333,10.84,2.0,ml,35,65,0.1354,0.14,ci,ci38249048,2018-08-16T17:57:47.840Z,"11km NE of Ridgecrest, CA",earthquake,0.17,0.36,0.129,51,reviewed,ci,ci
2018-09-04T04:19:07.670Z,36.1625,-118.0556667,1.22,2.07,ml,32,82,0.1686,0.15,ci,ci38046623,2018-10-23T16:24:01.783Z,"14km SSW of Olancha, CA",earthquake,0.18,0.44,0.266,25,reviewed,ci,ci
2018-09-16T09:39:35.900Z,35.4905,-118.3456667,3.14,2.7,ml,48,44,0.1737,0.14,ci,ci38061911,2018-10-23T16:14:55.759Z,"17km SE of Bodfish, CA",earthquake,0.13,0.51,0.135,142,reviewed,ci,ci
2018-09-16T09:46:14.790Z,35.49,-118.3458333,3.07,2.06,ml,42,73,0.174,0.14,ci,ci38061927,2018-10-23T16:20:37.992Z,"17km SE of Bodfish, CA",earthquake,0.15,0.56,0.163,50,reviewed,ci,ci
2018-09-28T15:13:57.000Z,35.7771667,-118.2445,8.87,3.18,ml,41,55,0.08138,0.13,ci,ci37372850,2022-08-08T08:44:03.852Z,"16km E of Kernville, CA",earthquake,0.14,0.36,0.157,255,reviewed,ci,ci
2018-10-08T21:25:02.190Z,36.0675,-118.0,2.92,3.23,ml,48,46,0.107,0.15,ci,ci38317720,2018-12-21T21:15:47.040Z,"5km WNW of Coso Junction, CA",earthquake,0.12,0.53,0.145,234,reviewed,ci,ci
2018-10-12T18:04:29.380Z,35.5281667,-117.5135,8.63,2.0,ml,36,46,0.1216,0.15,ci,ci37387578,2018-10-23T16:16:05.619Z,"18km SE of Ridgecrest, CA",earthquake,0.16,0.55,0.21,41,reviewed,ci,ci
2018-10-16T01:03:42.180Z,35.7588333,-118.161,12.55,2.01,ml,28,52,0.09149,0.1,ci,ci37394170,2018-10-23T16:09:24.763Z,"24km E of Kernville, CA",earthquake,0.16,0.44,0.307,25,reviewed,ci,ci
2018-10-21T15:25:22.710Z,36.0435,-117.3641667,2.39,2.43,ml,38,58,0.1022,0.14,ci,ci37399746,2018-10-23T16:02:41.491Z,"31km N of Searles Valley, CA",earthquake,0.14,0.34,0.137,24,reviewed,ci,ci
