# dataset: GeoCSV 2.0
# delimiter: ,
# SID: BK_CMB_00_BHZ
# sample_count: 26400
# sample_rate_hz: 40
# start_time: 2020-07-22T06:17:56.019538Z
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2020-07-22T06:17:56.019538Z, -2160
2020-07-22T06:17:56.044538Z, -2210
2020-07-22T06:17:56.069538Z, -2244
2020-07-22T06:17:56.094538Z, -2267
2020-07-22T06:17:56.119538Z, -2258
2020-07-22T06:17:56.144538Z, -2203
2020-07-22T06:17:56.169538Z, -2314
2020-07-22T06:17:56.194538Z, -2325
2020-07-22T06:17:56.219538Z, -2180
2020-07-22T06:17:56.244538Z, -2200
2020-07-22T06:17:56.269538Z, -2183
2020-07-22T06:17:56.294538Z, -2195
2020-07-22T06:17:56.319538Z, -2219
2020-07-22T06:17:56.344538Z, -2148
2020-07-22T06:17:56.369538Z, -2242
2020-07-22T06:17:56.394538Z, -2313
2020-07-22T06:17:56.419538Z, -2350
2020-07-22T06:17:56.444538Z, -2353
2020-07-22T06:17:56.469538Z, -2285
2020-07-22T06:17:56.494538Z, -2279
2020-07-22T06:17:56.519538Z, -2270
2020-07-22T06:17:56.544538Z, -2272
2020-07-22T06:17:56.569538Z, -2246
2020-07-22T06:17:56.594538Z, -2250
2020-07-22T06:17:56.619538Z, -2294
2020-07-22T06:17:56.644538Z, -2325
2020-07-22T06:17:56.669538Z, -2358
2020-07-22T06:17:56.694538Z, -2407
2020-07-22T06:17:56.719538Z, -2448
2020-07-22T06:17:56.744538Z, -2428
2020-07-22T06:17:56.769538Z, -2428
2020-07-22T06:17:56.794538Z, -2399
2020-07-22T06:17:56.819538Z, -2400
2020-07-22T06:17:56.844538Z, -2454
2020-07-22T06:17:56.869538Z, -2427
2020-07-22T06:17:56.894538Z, -2426
2020-07-22T06:17:56.919538Z, -2446
2020-07-22T06:17:56.944538Z, -2514
2020-07-22T06:17:56.969538Z, -2591
2020-07-22T06:17:56.994538Z, -2533
2020-07-22T06:17:57.019538Z, -2621
2020-07-22T06:17:57.044538Z, -2689
2020-07-22T06:17:57.069538Z, -2597
2020-07-22T06:17:57.094538Z, -2671
2020-07-22T06:17:57.119538Z, -2653
2020-07-22T06:17:57.144538Z, -2578
2020-07-22T06:17:57.169538Z, -2656
2020-07-22T06:17:57.194538Z, -2623
2020-07-22T06:17:57.219538Z, -2606
2020-07-22T06:17:57.244538Z, -2668
2020-07-22T06:17:57.269538Z, -2691
2020-07-22T06:17:57.294538Z, -2796
2020-07-22T06:17:57.319538Z, -2837
2020-07-22T06:17:57.344538Z, -2818
2020-07-22T06:17:57.369538Z, -2877
2020-07-22T06:17:57.394538Z, -2876
2020-07-22T06:17:57.419538Z, -2826
2020-07-22T06:17:57.444538Z, -2810
2020-07-22T06:17:57.469538Z, -2823
2020-07-22T06:17:57.494538Z, -2823
2020-07-22T06:17:57.519538Z, -2803
2020-07-22T06:17:57.544538Z, -2848
2020-07-22T06:17:57.569538Z, -2928
2020-07-22T06:17:57.594538Z, -2920
2020-07-22T06:17:57.619538Z, -2965
2020-07-22T06:17:57.644538Z, -3009
2020-07-22T06:17:57.669538Z, -2950
2020-07-22T06:17:57.694538Z, -2963
2020-07-22T06:17:57.719538Z, -2931
2020-07-22T06:17:57.744538Z, -2860
2020-07-22T06:17:57.769538Z, -2803
2020-07-22T06:17:57.794538Z, -2817
2020-07-22T06:17:57.819538Z, -2892
2020-07-22T06:17:57.844538Z, -2870
2020-07-22T06:17:57.869538Z, -2924
2020-07-22T06:17:57.894538Z, -2968
2020-07-22T06:17:57.919538Z, -2955
2020-07-22T06:17:57.944538Z, -2966
2020-07-22T06:17:57.969538Z, -2908
2020-07-22T06:17:57.994538Z, -2848
2020-07-22T06:17:58.019538Z, -2842
2020-07-22T06:17:58.044538Z, -2876
2020-07-22T06:17:58.069538Z, -2812
2020-07-22T06:17:58.094538Z, -2778
2020-07-22T06:17:58.119538Z, -2852
2020-07-22T06:17:58.144538Z, -2826
2020-07-22T06:17:58.169538Z, -2809
2020-07-22T06:17:58.194538Z, -2825
2020-07-22T06:17:58.219538Z, -2767
2020-07-22T06:17:58.244538Z, -2768
2020-07-22T06:17:58.269538Z, -2759
2020-07-22T06:17:58.294538Z, -2680
2020-07-22T06:17:58.319538Z, -2678
2020-07-22T06:17:58.344538Z, -2649
2020-07-22T06:17:58.369538Z, -2643
2020-07-22T06:17:58.394538Z, -2611
2020-07-22T06:17:58.419538Z, -2546
2020-07-22T06:17:58.444538Z, -2647
2020-07-22T06:17:58.469538Z, -2628
2020-07-22T06:17:58.494538Z, -2593
2020-07-22T06:17:58.519538Z, -2608
2020-07-22T06:17:58.544538Z, -2538
2020-07-22T06:17:58.569538Z, -2574
2020-07-22T06:17:58.594538Z, -2542
2020-07-22T06:17:58.619538Z, -2467
2020-07-22T06:17:58.644538Z, -2456
2020-07-22T06:17:58.669538Z, -2420
2020-07-22T06:17:58.694538Z, -2373
2020-07-22T06:17:58.719538Z, -2362
2020-07-22T06:17:58.744538Z, -2382
2020-07-22T06:17:58.769538Z, -2347
2020-07-22T06:17:58.794538Z, -2359
2020-07-22T06:17:58.819538Z, -2367
2020-07-22T06:17:58.844538Z, -2321
2020-07-22T06:17:58.869538Z, -2326
2020-07-22T06:17:58.894538Z, -2342
2020-07-22T06:17:58.919538Z, -2328
2020-07-22T06:17:58.944538Z, -2221
2020-07-22T06:17:58.969538Z, -2169
2020-07-22T06:17:58.994538Z, -2206
2020-07-22T06:17:59.019538Z, -2144
2020-07-22T06:17:59.044538Z, -2092
2020-07-22T06:17:59.069538Z, -2101
2020-07-22T06:17:59.094538Z, -2149
2020-07-22T06:17:59.119538Z, -2186
