Dist(km),PGA(g)
4.4,0.40299999999999997
4.5,0.375
4.4,0.611
9.7,0.11
11.6,0.198
6.4,0.342
12.1,0.469
3.3,0.42700000000000005
13.6,0.051
13.6,0.32899999999999996
14.8,0.038
11.6,0.14400000000000002
15.8,0.09300000000000001
16.8,0.369
18.1,0.094
19.3,0.085
19.4,0.149
19.9,0.436
20.1,0.995
20.6,0.14
20.6,0.024
19.9,0.040999999999999995
19.1,0.087
23.0,0.037000000000000005
23.6,0.040999999999999995
23.7,0.042
24.4,0.07400000000000001
24.5,0.017
18.0,0.153
24.9,0.042
25.6,0.043
25.5,0.036000000000000004
25.6,0.063
25.7,0.063
25.9,0.031
26.1,0.042
25.2,0.08800000000000001
26.5,0.039
26.9,0.203
27.0,0.028999999999999998
26.9,0.027999999999999997
27.0,0.040999999999999995
27.1,0.065
21.9,0.07200000000000001
27.2,0.06
28.1,0.015
27.7,0.054000000000000006
29.0,0.017
29.2,0.028999999999999998
30.6,0.023
30.5,0.075
28.9,0.071
30.8,0.024
31.3,0.011000000000000001
31.5,0.03
31.5,0.013999999999999999
26.6,0.057
31.8,0.016
31.9,0.013999999999999999
31.8,0.043
32.3,0.013000000000000001
32.7,0.019
33.0,0.03
33.5,0.023
30.5,0.055999999999999994
33.8,0.036000000000000004
33.9,0.027000000000000003
34.2,0.009000000000000001
34.2,0.036000000000000004
25.0,0.10400000000000001
34.9,0.012
33.7,0.024
35.1,0.011000000000000001
35.3,0.067
35.3,0.021
35.4,0.066
35.6,0.011000000000000001
35.6,0.02
28.1,0.152
30.2,0.027000000000000003
26.9,0.028999999999999998
36.1,0.012
36.1,0.025
36.3,0.022000000000000002
36.3,0.011000000000000001
36.3,0.026000000000000002
36.6,0.027999999999999997
36.5,0.019
37.5,0.018000000000000002
37.7,0.036000000000000004
33.6,0.055999999999999994
38.5,0.015
38.5,0.013999999999999999
38.6,0.043
38.6,0.013000000000000001
38.8,0.027999999999999997
38.8,0.011000000000000001
38.7,0.011000000000000001
38.8,0.01
38.8,0.019
39.5,0.019
39.5,0.016
39.6,0.021
39.6,0.046
37.3,0.025
32.6,0.036000000000000004
39.8,0.026000000000000002
34.6,0.044000000000000004
40.6,0.075
40.6,0.01
40.9,0.013000000000000001
41.0,0.019
41.1,0.006999999999999999
41.3,0.012
41.4,0.015
41.4,0.013999999999999999
41.5,0.012
41.6,0.021
41.6,0.036000000000000004
35.1,0.037000000000000005
42.0,0.019
42.0,0.013999999999999999
35.8,0.048
36.2,0.04
42.6,0.012
42.8,0.023
42.8,0.027999999999999997
43.4,0.013000000000000001
43.7,0.008
37.2,0.057999999999999996
44.2,0.017
44.3,0.013000000000000001
44.9,0.015
45.1,0.031
45.1,0.013999999999999999
45.2,0.031
45.4,0.015
41.9,0.053
45.4,0.024
45.7,0.016
45.8,0.013999999999999999
38.9,0.036000000000000004
38.8,0.03
46.0,0.005
46.0,0.019
46.1,0.016
46.2,0.016
46.2,0.016
46.8,0.012
46.8,0.055999999999999994
40.5,0.015
46.9,0.049
40.2,0.026000000000000002
46.9,0.016
47.0,0.016
47.1,0.023
47.2,0.023
47.2,0.031
47.4,0.022000000000000002
47.5,0.008
47.5,0.009000000000000001
47.7,0.024
47.7,0.011000000000000001
47.7,0.027000000000000003
48.0,0.024
47.9,0.013999999999999999
48.0,0.013000000000000001
48.1,0.011000000000000001
48.2,0.012
48.2,0.013000000000000001
48.2,0.044000000000000004
48.1,0.01
48.3,0.01
48.2,0.01
48.6,0.022000000000000002
48.6,0.012
48.7,0.005
48.9,0.01
49.0,0.022000000000000002
49.2,0.037000000000000005
49.2,0.008
49.3,0.012
44.4,0.028999999999999998
49.3,0.016
49.3,0.013999999999999999
49.4,0.009000000000000001
49.3,0.009000000000000001
49.4,0.016
49.7,0.019
49.6,0.013000000000000001
42.8,0.035
49.8,0.017
49.9,0.013000000000000001
49.9,0.006
50.2,0.015
50.2,0.017
50.2,0.008
50.3,0.011000000000000001
50.4,0.011000000000000001
50.4,0.011000000000000001
50.5,0.011000000000000001
50.7,0.018000000000000002
51.1,0.013000000000000001
47.5,0.016
51.1,0.016
51.5,0.013999999999999999
51.7,0.013000000000000001
51.7,0.018000000000000002
52.1,0.024
52.1,0.01
52.2,0.012
52.3,0.013000000000000001
53.0,0.02
53.3,0.027000000000000003
53.3,0.045
54.1,0.009000000000000001
54.2,0.011000000000000001
46.9,0.023
54.2,0.016
54.3,0.01
54.7,0.012
54.8,0.013999999999999999
45.7,0.026000000000000002
55.3,0.02
55.7,0.019
53.4,0.027000000000000003
56.5,0.017
56.7,0.023
56.9,0.018000000000000002
57.2,0.009000000000000001
52.3,0.012
58.7,0.009000000000000001
58.8,0.019
59.2,0.018000000000000002
59.6,0.009000000000000001
60.1,0.013999999999999999
60.2,0.01
60.4,0.006999999999999999
60.7,0.011000000000000001
60.9,0.012
61.0,0.01
61.2,0.008
61.4,0.013999999999999999
61.5,0.006
61.6,0.024
61.7,0.009000000000000001
61.8,0.01
61.8,0.008
62.2,0.011000000000000001
62.3,0.017
62.3,0.005
63.2,0.009000000000000001
63.3,0.028999999999999998
63.7,0.009000000000000001
63.9,0.011000000000000001
64.2,0.006
65.0,0.012
65.4,0.006999999999999999
63.0,0.02
58.1,0.042
65.7,0.012
66.0,0.022000000000000002
66.3,0.006999999999999999
66.5,0.027000000000000003
66.8,0.008
66.8,0.062
66.9,0.009000000000000001
57.9,0.025
67.0,0.013999999999999999
67.6,0.018000000000000002
68.2,0.009000000000000001
68.4,0.008
68.5,0.01
68.8,0.01
68.9,0.013000000000000001
69.1,0.022000000000000002
69.9,0.009000000000000001
69.9,0.022000000000000002
69.9,0.028999999999999998
70.0,0.03
60.7,0.159
60.9,0.174
70.8,0.039
70.8,0.01
71.1,0.02
71.3,0.01
72.3,0.018000000000000002
72.5,0.023
72.6,0.021
72.6,0.01
73.0,0.009000000000000001
73.1,0.032
73.3,0.009000000000000001
73.3,0.039
73.4,0.016
73.7,0.015
63.9,0.011000000000000001
74.6,0.006
74.7,0.009000000000000001
74.9,0.008
76.1,0.006
76.2,0.023
76.5,0.009000000000000001
76.7,0.032
76.8,0.013999999999999999
77.0,0.006
77.2,0.01
77.3,0.015
77.4,0.008
68.4,0.033
78.2,0.013000000000000001
78.3,0.011000000000000001
78.3,0.011000000000000001
78.4,0.008
78.5,0.006999999999999999
69.2,0.016
78.7,0.022000000000000002
79.0,0.008
79.0,0.03
79.2,0.013999999999999999
79.2,0.006999999999999999
79.4,0.013000000000000001
79.6,0.006999999999999999
79.7,0.012
79.8,0.012
80.0,0.012
80.0,0.008
80.1,0.008
80.2,0.008
80.6,0.017
81.0,0.011000000000000001
81.7,0.019
81.7,0.021
82.1,0.027000000000000003
83.3,0.006999999999999999
83.7,0.01
83.8,0.005
84.4,0.01
84.5,0.008
84.6,0.012
84.6,0.013000000000000001
84.8,0.012
84.8,0.01
84.8,0.015
84.9,0.006999999999999999
85.8,0.012
