x	y
-122.029	37.836
-121.998	37.805
-121.957	37.762
-121.947	37.731
-121.936	37.700
-121.917	37.672
-121.900	37.640
-121.886	37.614
-121.866	37.578
-121.844	37.536
-121.815	37.484
-121.776	37.430
-121.730	37.374
-121.709	37.339
-121.689	37.304
-121.669	37.270
-121.648	37.243
-121.630	37.218
-121.606	37.194
-121.576	37.169
-121.561	37.144
-121.544	37.111
-121.520	37.079
-121.496	37.053
-121.482	37.022
-121.464	36.990
-121.454	36.965
-121.430	36.926
-121.415	36.895
-121.402	36.870
-121.378	36.841
-121.343	36.810
-121.305	36.778
-121.272	36.744
-121.249	36.722
-121.215	36.693
-121.187	36.665
-121.160	36.643
-121.133	36.621
-121.110	36.601
-121.084	36.579
-121.061	36.558
-121.039	36.534
-121.019	36.517
