PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM14
4-character ID, P566
Station name, Visalia_MYCS2005
Begin Date, 2005-11-16
End Date, 2023-04-15
Release Date, 2023-04-16
Source file, P566.cwu.nam14.pos
Offset from source file, 57.23 mm North, -67.12 mm East, -73.81 mm Vertical
Reference position, 36.3244546368 North Latitude, -119.2292875535 East Longitude, 78.15511 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2005-11-16,0.00, 0.00, 0.00, 2.11, 1.71, 7.7, repro,
2005-11-17,0.26, -1.83, 0.44, 2.02, 1.61, 7.36, repro,
2005-11-18,0.03, -0.64, 5.36, 2, 1.62, 7.35, repro,
2005-11-19,0.38, -0.86, 4.61, 2.02, 1.62, 7.37, repro,
2005-11-20,-0.15, -1.14, -3.28, 2.04, 1.65, 7.46, repro,
2005-11-21,0.03, -1.97, 6.72, 2.14, 1.69, 7.86, repro,
2005-11-22,-0.11, -1.50, 4.15, 2.1, 1.73, 7.77, repro,
2005-11-23,0.19, -1.34, 8.37, 2.04, 1.65, 7.45, repro,
2005-11-24,-0.86, -0.92, 6.16, 2.01, 1.63, 7.42, repro,
2005-11-25,0.15, -1.79, 7.54, 2.05, 1.67, 7.55, repro,
2005-11-26,0.94, -2.70, 6.18, 2.15, 1.75, 7.9, repro,
2005-11-27,-0.08, -1.10, 8.38, 2.07, 1.67, 7.59, repro,
2005-11-28,0.65, -0.68, 1.61, 2.11, 1.73, 7.8, repro,
2005-11-29,0.08, -1.53, 6.90, 2.06, 1.67, 7.53, repro,
2005-11-30,0.78, -1.12, 4.69, 2.06, 1.7, 7.61, repro,
2005-12-01,-0.11, -1.36, 2.95, 2.04, 1.64, 7.42, repro,
2005-12-02,-0.72, -1.87, 1.34, 2.05, 1.65, 7.45, repro,
2005-12-03,0.42, -1.69, 2.01, 2.05, 1.64, 7.42, repro,
2005-12-04,0.88, -0.64, -0.75, 2.04, 1.65, 7.41, repro,
2005-12-05,0.27, -1.19, -2.35, 2.04, 1.66, 7.44, repro,
2005-12-06,-0.02, -1.52, -2.79, 2.08, 1.63, 7.47, repro,
2005-12-07,0.16, -1.58, -1.53, 2.06, 1.68, 7.54, repro,
2005-12-08,-0.15, -1.86, 3.74, 2.08, 1.69, 7.63, repro,
2005-12-09,2.26, -1.10, -1.42, 2.07, 1.65, 7.52, repro,
2005-12-10,-0.31, -1.66, 0.53, 2.04, 1.65, 7.44, repro,
2005-12-11,0.24, -2.09, 5.62, 2.01, 1.61, 7.31, repro,
2005-12-12,0.91, -1.48, -2.49, 2.01, 1.61, 7.32, repro,
2005-12-13,-0.06, -1.51, 8.01, 2.02, 1.61, 7.35, repro,
2005-12-14,1.49, -1.63, -1.20, 2.04, 1.64, 7.42, repro,
2005-12-15,0.82, -2.60, -1.10, 2.1, 1.68, 7.65, repro,
2005-12-16,0.35, -2.89, 4.54, 2.02, 1.61, 7.37, repro,
2005-12-17,0.67, -2.89, 5.64, 2.1, 1.73, 7.67, repro,
