Cluster/Group,VCMB,VFlow,σ,D(Mpc),HCMB,σ,HFlow,σ
Abell 1367,6709,6845,88,89.2,75.2,12.5,76.7,12.8
Abell 0262,4730,5091,80,66.7,70.9,11.8,76.2,12.7
Abell 2634,8930,9142,79,114.9,77.7,12.4,79.6,12.7
Abell 3574,4749,4617,11,62.2,76.2,12.2,74.2,11.9
Abell 0400,7016,6983,75,88.4,79.3,12.6,79,12.6
Antlia,3106,2821,100,45.1,68.8,11.3,62.5,10.3
Cancer,4982,4942,80,74.3,67.1,11,66.5,10.9
Cen 30,3272,4445,150,43.2,75.8,12.8,102.9,17.4
Cen 45,4820,4408,100,68.2,70.7,11.9,64.6,10.9
Coma,7143,7392,68,85.6,83.5,13.4,86.4,13.9
Eridanus,1607,1627,30,20.7,77.6,12.9,78.5,13.1
ESO 50,3149,2896,100,39.5,79.8,13,73.3,11.9
Fornax,1380,1372,45,15,92.2,15.3,91.7,15.2
Hydra,4061,3881,50,58.3,69.6,11.1,66.5,10.6
MDL 59,2304,2664,75,31.3,73.6,11.8,85.1,13.7
NGC 3557,3294,2957,60,38.7,85,14.4,76.3,12.9
NGC 0383,4924,5326,32,66.6,73.9,11.9,80,12.9
NGC 0507,4869,5257,99,57.3,84.9,13.5,91.8,14.6
Pavo 2,4398,4646,70,50.9,86.3,14.2,91.2,15
Pegasus,3545,3874,80,53.3,66.4,10.7,72.6,11.7
Ursa Major,1088,1088,40,19.8,54.8,8.6,54.8,8.6
