x	y
-123.503	38.851
-123.485	38.830
-123.458	38.802
-123.429	38.767
-123.403	38.739
-123.375	38.712
-123.354	38.690
-123.329	38.663
-123.309	38.641
-123.282	38.612
-123.260	38.589
-123.222	38.550
-123.193	38.523
-123.165	38.495
-123.143	38.469
-123.105	38.435
-123.072	38.402
-123.041	38.369
-123.029	38.355
-123.010	38.333
-122.992	38.311
-122.973	38.286
-122.956	38.264
-122.933	38.233
-122.914	38.212
-122.899	38.193
-122.880	38.170
-122.860	38.149
-122.840	38.127
-122.820	38.105
-122.804	38.088
-122.782	38.066
-122.764	38.048
-122.748	38.032
-122.737	38.017
-122.718	37.996
-122.700	37.974
-122.681	37.952
-122.653	37.915
-122.627	37.888
-122.613	37.867
-122.593	37.840
-122.575	37.810
-122.537	37.754
-122.520	37.730
-122.493	37.703
-122.458	37.667
-122.430	37.638
-122.410	37.615
-122.384	37.583
-122.360	37.560
-122.339	37.531
-122.309	37.498
-122.290	37.480
-122.271	37.460
-122.249	37.439
-122.228	37.415
-122.214	37.399
-122.199	37.382
-122.176	37.359
-122.162	37.344
-122.142	37.328
-122.126	37.316
-122.106	37.301
-122.087	37.284
-122.068	37.266
-122.042	37.243
-122.028	37.231
-122.007	37.213
-121.967	37.178
-121.913	37.138
-121.844	37.093
-121.764	37.047
-121.685	36.980
-121.622	36.940
-121.593	36.919
-121.548	36.890
-121.515	36.867
-121.477	36.840
-121.389	36.789
-121.343	36.758
-121.262	36.690
-121.215	36.657
-121.175	36.620
-121.140	36.593
-121.099	36.552
-121.076	36.529
-121.040	36.500
