affinity,SiO2_wt_percent,TiO2_wt_percent,Al2O3_wt_percent,Fe2O3_wt_percent,FeO_wt_percent,CaO_wt_percent,MgO_wt_percent,MnO_wt_percent,K2O_wt_percent,Na2O_wt_percent,P2O5(wt%),La_ppm,Ce_ppm,Pr_ppm,Nd_ppm,Sm_ppm,Eu_ppm,Gd_ppm,Tb_ppm,Dy_ppm,Ho_ppm,Er_ppm,Tm_ppm,Yb_ppm,Lu_ppm,Sc_ppm,V_ppm,Cr_ppm,Co_ppm,Ni_ppm,Cu_ppm,Zn_ppm,Ga_ppm,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,Sn_ppm,Cs_ppm,Ba_ppm,Hf_ppm,Ta_ppm,Pb_ppm,Th_ppm,U_ppm,143Nd/144Nd,87Sr/86Sr,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb
MORB,48.2,2.52,15.2,2.31,8.56,9.69,7.15,0.17,0.9,3.79,0.44,18.48,41.19,NA,NA,6.67,2.02,NA,1.17,NA,NA,NA,NA,3.68,0.54,28.8,297,196,43,113,44,97,NA,13.09,342,NA,289,NA,NA,NA,NA,5.2,NA,2.15,1.4881,0.4941,NA,0.703,NA,NA,NA
MORB,49.58,1.165,17.82,9.31,NA,11.87,7.13,0.155,0.07,2.73,0.1,2.42,7.84,1.34,7.49,2.63,0.96,3.53,0.67,4.52,0.95,2.9,0.42,2.86,0.45,32.71,229.4,315.5,39.96,122.2,62.62,64.85,15.2,0.89,119.3,28.29,72,1.83,NA,0.016,9.54,1.98,0.128,0.386,0.117,0.035,0.513152,0.702495607,18.439,15.489,37.878
MORB,49.89,1.67,16.16,10.74,NA,11.05,6.96,0.18,0.19,2.89,0.16,3.98,12.08,2.05,11.16,3.81,1.35,5.06,0.9,6.03,1.27,3.77,0.6,3.8,0.6,38.43,296.6,224,40.6,82.27,64.28,83.26,16.28,1.55,130.2,38.52,117.7,3.25,NA,0.029,14.15,3.13,0.216,0.638,0.224,0.1,0.513134,0.702517609,18.504,15.494,37.92
MORB,50.17,1.565,16.58,9.92,NA,11.4,7.12,0.165,0.265,2.86,0.16,4.08,12.59,2.01,10.98,3.63,1.32,4.79,0.96,5.8,1.26,3.56,0.56,3.62,0.51,35.06,279.2,266.7,40.87,111.81,64.28,75.67,15.85,2.48,130.4,35.74,114.1,3.45,NA,0.034,15.77,2.95,0.205,0.535,0.201,0.271,0.513155,0.702505401,18.426,15.466,37.828
MORB,50.325,1.63,15.46,10.71,NA,10.79,7.655,0.18,0.13,3.125,0.16,4.2,13.19,2.08,11.4,3.61,1.31,4.77,0.89,5.74,1.21,3.5,0.52,3.47,0.54,39,301.4,282.6,46.89,116.33,65.85,77.92,15.49,1.45,140.7,36.26,116.6,3.28,NA,0.022,14.94,2.91,0.202,0.604,0.216,0.07,0.513147,0.702517,18.438,15.487,37.865
MORB,50.42,1.31,15.83,9.59,NA,11.525,7.72,0.16,0.235,2.905,0.125,3.57,10.65,1.68,9.16,2.88,1.1,3.79,0.69,4.56,0.97,2.77,0.44,2.7,0.47,36.72,246.9,300.7,41.03,88.26,68.65,62.89,14.8,2.09,145.4,28.75,91.5,3.09,NA,0.026,15.21,2.23,0.186,0.515,0.162,0.084,0.513137,0.702499608,18.509,15.497,37.934
MORB,50.48,1.19,16.87,8.86,NA,11.86,8.07,0.15,0.16,2.62,0.11,3.08,8.71,1.43,7.91,2.63,0.97,3.51,0.67,4.1,0.86,2.59,0.37,2.63,0.4,33.61,244.2,387.3,36.41,123.85,62.66,65.21,14.36,2.1,126.2,26.87,78.3,2.6,NA,0.041,13.64,2.07,0.159,0.526,0.191,0.071,0.513186,0.702556,18.371,15.502,37.867
MORB,50.64,1.67,15.32,11.03,NA,10.7,7.25,0.18,0.25,3.1,0.14,3.97,12.23,2.01,10.94,3.56,1.31,4.7,0.86,5.66,1.2,3.57,0.52,3.56,0.56,40.06,313.6,172.8,44.83,97.23,65.79,85.07,17.36,1.9,139,36.07,115,3.08,NA,0.018,14.49,2.77,0.176,1.747,0.194,0.085,0.513178,0.702492,18.404,15.476,37.82
MORB,48.41,1.22,16.17,NA,NA,11.99,8.54,0.18,0.09,2.25,0.11,2.7,10.3,NA,7.8,2.74,1.1,NA,0.6,NA,NA,NA,NA,3.03,0.44,43.4,241,325,78,140,NA,99,17,0.91,117,27.6,79,2.5,NA,NA,NA,2,1.1,NA,NA,NA,NA,0.70254,NA,NA,NA
MORB,48.66,1.69,15.43,NA,NA,11.37,7.91,0.18,0.06,2.69,0.14,2.96,10.46,1.8,10.17,3.581,1.48,5.31,NA,6.32,1.41,4.26,NA,3.79,NA,45,322,340,45,137,72,83,NA,0.48,114.7,40,115,3,NA,NA,NA,NA,NA,0.401,NA,NA,0.513115,0.70263,18.514,15.49,38.017
MORB,48.8,0.74,20.1,0.69,4.82,13.1,7.2,0.16,0.06,2.18,0.07,1.95,6.5,NA,5.61,1.92,0.77,NA,NA,NA,NA,1.83,NA,1.72,NA,30,170,350,28,130,64,NA,14,3,140,21,44,NA,NA,0.019,12.4,NA,NA,0.49,NA,NA,NA,0.7028,18.193,15.478,37.755
MORB,48.86,1.73,16.81,NA,9.29,11.57,7.29,0.15,0.23,2.74,0.21,8.28,18.2,NA,13,4.03,1.62,NA,0.81,NA,NA,NA,NA,2.99,0.45,35,284,199,37.1,71,NA,56,NA,6,185,28,124,13,NA,NA,64,2.87,0.82,NA,0.89,0.37,0.51311,0.70248,18.88,15.49,38.16
MORB,48.98,2.38,14.34,NA,NA,11.1,7.3,0.17,0.11,2.34,0.25,3.8,15,NA,15.8,NA,1.94,7.64,1.39,NA,NA,NA,0.9,5.62,0.92,NA,NA,226,NA,86,NA,78,23,2,129,46,138,2,NA,NA,29,4.28,0.19,0.68,0.25,NA,0.513148,0.70255,18.618,15.567,38.307
MORB,49.04,1.76,16.94,1.48,7.26,11.3,7.41,0.16,0.74,2.95,0.34,11.7,26.2,NA,NA,4.08,1.44,NA,1.06,NA,NA,NA,NA,2.95,0.44,34.3,NA,243,NA,122,NA,NA,NA,9.8,240,NA,150,NA,NA,0.07,100,3.53,NA,NA,1.22,NA,NA,0.7032,NA,NA,NA
MORB,49.13,1.47,14.52,NA,NA,12.24,7.42,0.19,0.16,2.54,0.15,4.7,13.8,NA,10.2,3.18,1.28,NA,0.6,NA,NA,NA,NA,3.07,0.46,46.8,299,319,88,60,NA,104,17,1.6,153,28.3,97,5.6,NA,NA,NA,2.4,2.1,NA,NA,NA,0.51317,0.70251,NA,NA,NA
MORB,49.51,1.47,14.57,NA,NA,11.86,7.55,0.19,0.05,2.44,0.1,2.5,8.75,1.41,8.192,3.064,1.41,4.61,NA,5.77,NA,3.82,NA,3.54,NA,49,344,225,47,86,82,82,NA,0.46,96.4,37,86,2,NA,NA,NA,NA,NA,0.3,NA,NA,0.513122,0.70265,18.55,15.507,38.051
MORB,49.7,1.58,14.15,NA,NA,11.5,7.13,0.21,0.15,2.62,0.15,3.7,11.9,NA,8.6,3.07,1.1,NA,0.67,NA,NA,NA,NA,3.63,0.57,44.6,320,244,64,83,NA,95,18,1.3,96,31.6,91,4.1,NA,NA,NA,2.4,0.7,NA,NA,NA,0.51315,0.70258,NA,NA,NA
MORB,49.8,2.02,14.88,1.55,10.24,10.72,6.74,0.21,0.24,2.91,0.28,3.5,16.5,1.49,8.23,3.1,1.2,NA,0.65,5.2,0.913,NA,0.412,2.8,0.411,56,400,160,35,58,80,NA,20,2,86,25.5,150,NA,NA,0.01241,25,NA,NA,0.49,0.19,0.08,NA,0.7028,18.16,15.459,37.664
MORB,50.12,1.59,14.79,NA,NA,12.04,7.38,0.17,0.38,2.49,0.22,7.76,22.2,NA,13.8,3.6,1.34,NA,0.61,NA,NA,NA,NA,2.96,0.426,44.9,270,193,73,64,NA,85,17,4.5,195,27.4,122,10.4,NA,NA,NA,2.69,1.84,NA,NA,NA,0.51317,0.70251,NA,NA,NA
MORB,50.13,1.89,14.08,NA,NA,11.01,6.58,0.22,0.12,2.95,0.14,3.87,11.9,2.06,12.43,4.408,1.55,5.99,NA,7.21,1.64,4.82,NA,4.19,NA,50,389,50,59,44,60,101,NA,0.56,122.7,43,123,3,NA,NA,NA,NA,NA,0.488,NA,NA,0.513121,0.70262,18.516,15.498,38.033
MORB,50.78,1.05,16.32,0.93,6.92,11.76,8.83,0.16,0.07,2.95,0.13,2.64,9.2,NA,7.9,2.45,1,NA,0.59,NA,NA,NA,NA,2.49,0.38,34,224,382,39.1,120,75,63,15,1,146,24,79,2.2,NA,NA,28,1.6,NA,4.8,NA,NA,NA,NA,NA,NA,NA
MORB,50.82,1.42,15.77,1.92,7.24,11.21,7.82,0.17,0.1,3.06,0.17,6.3,11.2,NA,10.3,3.4,1.3,NA,0.86,NA,NA,NA,NA,3.27,0.49,34.2,279,285,39,105,57,79,16,1,135,33.7,104,2.4,NA,NA,17,2.3,NA,0.738,NA,NA,NA,NA,NA,NA,NA
MORB,50.93,1.34,14.96,2.21,7.29,11.34,8.43,0.18,0.08,2.77,0.15,2.7,9.02,NA,8.6,3.11,1.22,NA,0.72,NA,NA,NA,NA,3.15,0.47,35.5,290,288,41.5,126,63,80,17,0.4,105,31.5,89,1.6,NA,NA,15,2.2,NA,0.56,NA,NA,NA,NA,NA,NA,NA
MORB,47.19,1.27,16.32,NA,NA,11.24,10.69,0.18,0.03,2.43,0.1,2.3,9.6,NA,8.1,2.67,1.12,NA,NA,NA,NA,NA,NA,2.96,0.46,40.2,222,489,NA,274,NA,80,16,0.4,138,27.2,86,1.7,NA,NA,NA,2.1,1.1,NA,NA,NA,NA,NA,NA,NA,NA
MORB,47.33,1.3,16.91,10.23,NA,12.36,9.5,0.16,0.22,2.29,0.09,3.3,10.4,NA,8.2,3.2,1.19,3.9,0.69,NA,NA,NA,0.5,2.8,0.35,33,212,342,67,206,NA,NA,NA,4,182,22,101,4,NA,NA,42,NA,NA,NA,NA,NA,NA,0.7024,NA,NA,NA
MORB,47.38,0.88,17.75,2,8.8,11,9.74,0.19,0.08,2.87,0.05,1.12,4.3,NA,4.58,1.84,0.821,3.16,NA,4.34,NA,3.1,NA,3.13,NA,42,184,371,49,203,NA,NA,NA,NA,95,25,51,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,0.70278,NA,NA,NA
MORB,47.38,0.87,15.1,9.31,NA,11.39,12.63,0.15,0.09,1.7,0.09,3.58,NA,NA,6.45,2.09,0.7,NA,0.45,NA,NA,NA,NA,NA,NA,27.2,192,1102,49,337,NA,59,NA,1.62,98.2,24,55,5.05,NA,NA,13,1.45,0.35,NA,0.41,0.18,0.513093,0.70291,18.77,15.596,38.442
