degrees_from_quake,P_wave_time,S_wave_time
0,0.09,0.156666667
0.5,0.176666667,0.306666667
1,0.295,0.52
1.5,0.41,0.726666667
2,0.523333333,0.93
2.5,0.638333333,1.136666667
3,0.753333333,1.343333333
3.5,0.868333333,1.55
4,0.981666667,1.755
4.5,1.096666667,1.961666667
5,1.211666667,2.168333333
5.5,1.326666667,2.373333333
6,1.44,2.578333333
6.5,1.555,2.785
7,1.67,2.99
7.5,1.783333333,3.195
8,1.898333333,3.4
8.5,2.011666667,3.605
9,2.126666667,3.81
9.5,2.24,4.015
10,2.355,4.22
11,2.583333333,4.628333333
12,2.811666667,5.036666667
13,3.038333333,5.443333333
14,3.266666667,5.85
15,3.491666667,6.255
16,3.708333333,6.66
17,3.92,7.065
18,4.125,7.466666667
19,4.313333333,7.87
20,4.495,8.225
21,4.676666667,8.558333333
22,4.855,8.885
23,5.031666667,9.185
24,5.193333333,9.455
25,5.345,9.721666667
26,5.496666667,9.986666667
27,5.646666667,10.25
28,5.795,10.51
29,5.943333333,10.77333333
30,6.091666667,11.035
31,6.238333333,11.295
32,6.385,11.555
33,6.531666667,11.815
34,6.675,12.07166667
35,6.82,12.32833333
36,6.963333333,12.585
37,7.105,12.83833333
38,7.245,13.09
39,7.385,13.34166667
40,7.523333333,13.59
41,7.661666667,13.84
42,7.798333333,14.08666667
43,7.933333333,14.33166667
44,8.068333333,14.575
45,8.201666667,14.81833333
46,8.333333333,15.05833333
47,8.463333333,15.295
48,8.593333333,15.53333333
49,8.721666667,15.76833333
50,8.848333333,16
51,8.975,16.23333333
52,9.1,16.46333333
53,9.223333333,16.69166667
54,9.345,16.91666667
55,9.466666667,17.14166667
56,9.586666667,17.36333333
57,9.705,17.585
58,9.823333333,17.80333333
59,9.938333333,18.02
60,10.05333333,18.235
61,10.16833333,18.45
62,10.28,18.66
63,10.39166667,18.87
64,10.50166667,19.07666667
65,10.61166667,19.28333333
66,10.72,19.48833333
67,10.825,19.68833333
68,10.93166667,19.89
69,11.035,20.08666667
70,11.13833333,20.28333333
71,11.24,20.47833333
72,11.34,20.67
73,11.44,20.86
74,11.53833333,21.04833333
75,11.635,21.235
76,11.73,21.41833333
77,11.825,21.60166667
78,11.91833333,21.78166667
79,12.01,21.96
80,12.1,22.135
81,12.19,22.31
82,12.27833333,22.48333333
83,12.365,22.65333333
84,12.45,22.82
85,12.53333333,22.985
86,12.61666667,23.14833333
87,12.69833333,23.31
88,12.77833333,23.46833333
89,12.85666667,23.625
90,12.935,23.78
