Dist(km),PGA(g)
0.8,0.155
2.1,0.276
1.2,0.40399999999999997
0.7,0.132
3.1,0.23
4.6,0.856
0.8,0.212
1.2,0.255
3.3,0.626
6.0,0.209
4.9,0.244
7.7,0.436
7.7,0.294
3.3,0.843
5.3,0.18600000000000003
8.2,0.256
8.2,0.10800000000000001
3.4,0.8440000000000001
3.4,1.135
7.8,0.221
1.1,0.153
11.1,0.256
1.2,0.308
6.7,0.629
6.5,0.444
7.3,0.503
7.2,0.578
7.6,0.807
7.5,0.581
0.1,1.3090000000000002
8.4,0.303
10.1,0.251
10.9,0.381
15.4,0.10300000000000001
0.6,0.22899999999999998
0.8,0.16899999999999998
2.1,0.5539999999999999
2.0,0.289
6.5,0.102
4.2,0.32799999999999996
9.0,0.198
4.1,0.369
17.2,0.08900000000000001
13.1,0.11599999999999999
16.9,0.105
10.2,0.349
23.8,0.079
43.2,0.038
30.5,0.027000000000000003
62.8,0.013999999999999999
64.7,0.021
68.6,0.01
74.8,0.013999999999999999
61.6,0.039
61.5,0.06
90.2,0.01
76.4,0.034
85.0,0.022000000000000002
90.3,0.019
118.0,0.008
126.0,0.013999999999999999
126.0,0.015
128.0,0.012
129.0,0.011000000000000001
129.0,0.017
130.0,0.011000000000000001
147.0,0.011000000000000001
168.0,0.006999999999999999
171.0,0.01
176.0,0.005
