# dataset: GeoCSV 2.0
# delimiter: ,
# SID: BK_CMB_00_BHZ
# sample_count: 50400
# sample_rate_hz: 40
# start_time: 2018-08-19T00:29:37.019539Z
# field_unit: UTC, Counts
# field_type: datetime, INTEGER
Time, Sample
2018-08-19T00:29:37.019539Z, -14467
2018-08-19T00:29:37.044539Z, -14493
2018-08-19T00:29:37.069539Z, -14416
2018-08-19T00:29:37.094539Z, -14399
2018-08-19T00:29:37.119539Z, -14574
2018-08-19T00:29:37.144539Z, -14424
2018-08-19T00:29:37.169539Z, -14374
2018-08-19T00:29:37.194539Z, -14533
2018-08-19T00:29:37.219539Z, -14390
2018-08-19T00:29:37.244539Z, -14379
2018-08-19T00:29:37.269539Z, -14370
2018-08-19T00:29:37.294539Z, -14296
2018-08-19T00:29:37.319539Z, -14384
2018-08-19T00:29:37.344539Z, -14335
2018-08-19T00:29:37.369539Z, -14337
2018-08-19T00:29:37.394539Z, -14361
2018-08-19T00:29:37.419539Z, -14296
2018-08-19T00:29:37.444539Z, -14350
2018-08-19T00:29:37.469539Z, -14316
2018-08-19T00:29:37.494539Z, -14266
2018-08-19T00:29:37.519539Z, -14229
2018-08-19T00:29:37.544539Z, -14079
2018-08-19T00:29:37.569539Z, -14184
2018-08-19T00:29:37.594539Z, -14250
2018-08-19T00:29:37.619539Z, -14057
2018-08-19T00:29:37.644539Z, -14136
2018-08-19T00:29:37.669539Z, -14223
2018-08-19T00:29:37.694539Z, -14043
2018-08-19T00:29:37.719539Z, -13992
2018-08-19T00:29:37.744539Z, -13942
2018-08-19T00:29:37.769539Z, -13930
2018-08-19T00:29:37.794539Z, -14194
2018-08-19T00:29:37.819539Z, -14078
2018-08-19T00:29:37.844539Z, -13843
2018-08-19T00:29:37.869539Z, -13972
2018-08-19T00:29:37.894539Z, -13858
2018-08-19T00:29:37.919539Z, -13788
2018-08-19T00:29:37.944539Z, -13843
2018-08-19T00:29:37.969539Z, -13883
2018-08-19T00:29:37.994539Z, -14092
2018-08-19T00:29:38.019539Z, -13881
2018-08-19T00:29:38.044539Z, -13581
