x	y
-122.438	38.731
-122.418	38.714
-122.394	38.690
-122.375	38.673
-122.355	38.655
-122.337	38.638
-122.315	38.622
-122.292	38.600
-122.271	38.577
-122.254	38.556
-122.240	38.539
-122.240	38.521
-122.241	38.499
-122.246	38.477
-122.245	38.459
-122.245	38.448
-122.237	38.434
-122.224	38.411
-122.217	38.392
-122.209	38.375
-122.204	38.359
-122.200	38.342
-122.191	38.322
-122.186	38.302
-122.180	38.288
-122.172	38.266
-122.169	38.247
-122.161	38.222
-122.149	38.193
-122.142	38.175
-122.135	38.153
-122.126	38.131
-122.115	38.114
-122.106	38.097
-122.103	38.078
-122.096	38.062
-122.092	38.046
-122.088	38.037
-122.074	38.023
-122.063	38.006
-122.051	37.991
-122.043	37.977
-122.025	37.960
-122.005	37.942
-122.000	37.926
-121.992	37.899
