x	y
-122.446	38.167
-122.436	38.133
-122.429	38.106
-122.420	38.088
-122.400	38.058
-122.378	38.034
-122.354	38.005
-122.332	37.982
-122.306	37.955
-122.258	37.897
-122.204	37.832
-122.175	37.792
-122.146	37.757
-122.125	37.730
-122.099	37.702
-122.079	37.680
-122.053	37.655
-122.031	37.635
-122.013	37.615
-121.990	37.590
-121.968	37.565
-121.953	37.546
-121.938	37.525
-121.921	37.506
-121.902	37.491
-121.880	37.474
-121.859	37.455
-121.824	37.430
-121.806	37.411
-121.794	37.393
-121.785	37.372
-121.775	37.356
-121.757	37.339
-121.744	37.318
-121.740	37.306
-121.733	37.285
-121.723	37.279
-121.698	37.270
-121.663	37.257
