x	y
-122.664	37.924
-122.652	37.902
-122.640	37.879
-122.628	37.853
-122.617	37.828
-122.599	37.795
-122.585	37.763
-122.573	37.737
-122.560	37.707
-122.545	37.677
-122.532	37.643
-122.518	37.611
-122.504	37.577
-122.496	37.553
-122.483	37.526
-122.455	37.487
-122.423	37.446
-122.409	37.422
-122.396	37.398
-122.386	37.370
-122.374	37.341
-122.363	37.318
-122.351	37.284
-122.338	37.259
-122.315	37.222
-122.302	37.198
-122.283	37.167
-122.268	37.141
-122.248	37.107
-122.240	37.081
-122.235	37.061
-122.228	37.030
-122.212	36.995
-122.194	36.966
-122.183	36.944
-122.170	36.915
-122.157	36.888
-122.144	36.863
-122.134	36.844
-122.117	36.813
-122.106	36.793
-122.090	36.769
-122.076	36.746
-122.064	36.725
-122.059	36.713
-122.044	36.679
-122.028	36.643
-122.013	36.614
-121.995	36.586
-121.982	36.558
-121.971	36.535
-121.957	36.513
-121.945	36.491
